Branch_ID,Bank_Type,Priority_Sector,Lending_Rate_Pct,Regional_GDP_Growth,LTV_Ratio,Gross_NPA_Pct
12666,Public,PSL,9.07,0.77,57.33,17.38
13958,Public,Non-PSL,9.94,6.51,60.1,11.23
10385,Private,Non-PSL,12.15,4.48,84.67,16.64
14852,Foreign,PSL,9.67,7.73,76.49,12.03
13145,Private,PSL,8.88,7.51,45.61,10.67
13930,Private,Non-PSL,7.84,7.8,69.57,10.33
13207,Public,Non-PSL,13.01,-0.73,71.4,17.42
13303,Public,PSL,10.91,5.09,66.82,16.8
13473,Private,Non-PSL,11.27,2.44,52.53,14.61
11933,Public,PSL,10.92,2.27,43.87,14.01
13326,Public,PSL,12.26,6.25,42.53,12.83
14799,Private,Non-PSL,7.86,2.15,60.32,14.61
14959,Private,Non-PSL,8.3,4.67,70.42,11.87
13849,Private,Non-PSL,12.0,2.39,66.56,15.28
14691,Public,PSL,9.58,7.67,81.47,13.12
14920,,Non-PSL,,2.34,65.65,10.37
13680,Public,Non-PSL,9.74,-0.56,55.76,15.26
14430,Public,Non-PSL,12.58,6.29,44.41,10.56
13866,Public,PSL,9.48,4.95,73.49,14.87
14010,Public,PSL,7.4,3.8,89.08,15.01
13162,Public,Non-PSL,7.15,-0.73,69.66,16.03
13265,Private,Non-PSL,12.55,6.17,69.06,12.45
10299,Private,Non-PSL,11.36,2.28,42.27,14.1
12396,,Non-PSL,,-1.38,58.01,14.84
11358,Public,Non-PSL,9.95,2.58,86.1,14.93
13792,Public,Non-PSL,7.47,-1.42,52.64,16.26
14818,Public,Non-PSL,12.74,2.6,58.14,15.54
12866,Private,PSL,11.06,7.73,78.95,13.59
14407,Foreign,PSL,13.64,0.32,42.03,15.32
11493,Private,PSL,8.59,2.11,60.79,15.59
14367,Public,Non-PSL,7.56,3.31,89.46,15.4
10998,,Non-PSL,,5.65,74.93,13.79
10961,Private,Non-PSL,7.58,2.0,55.75,12.0
10477,Private,Non-PSL,7.52,1.29,54.73,12.55
13652,Public,PSL,9.79,2.13,52.08,14.48
14391,Private,Non-PSL,8.3,7.49,40.43,5.38
13493,Foreign,Non-PSL,13.17,2.69,53.28,14.16
14736,Public,Non-PSL,7.83,4.05,40.92,11.48
12674,Private,PSL,8.39,3.28,42.58,10.56
11186,Public,Non-PSL,13.56,6.03,89.51,15.67
12560,Public,Non-PSL,10.5,6.11,69.3,11.37
13708,Foreign,Non-PSL,8.94,3.03,52.35,9.63
10949,Public,Non-PSL,13.12,4.8,51.13,11.78
13262,Public,PSL,10.55,-0.17,56.27,14.43
14087,Public,PSL,7.92,1.99,77.39,16.06
11404,Private,Non-PSL,12.15,6.73,61.06,12.52
12856,Private,Non-PSL,10.54,2.21,50.39,13.34
13794,,Non-PSL,,5.17,78.11,15.11
11142,Public,PSL,9.43,1.62,87.1,19.54
14034,Public,PSL,13.95,6.33,52.24,14.77
12133,Public,Non-PSL,10.92,4.71,53.71,14.44
12270,Public,Non-PSL,10.59,1.55,45.96,13.59
14478,Private,PSL,9.5,6.8,88.67,13.33
12831,Private,PSL,10.37,0.0,57.62,17.72
12968,Private,Non-PSL,10.93,-1.67,76.53,15.94
13085,Private,Non-PSL,11.91,4.83,51.36,10.87
10149,Public,Non-PSL,7.36,4.24,82.9,15.32
10384,Public,Non-PSL,13.14,-1.91,83.1,21.21
12221,Public,PSL,11.93,7.46,43.76,13.51
10026,Public,Non-PSL,12.5,3.28,47.61,13.31
11675,Public,Non-PSL,12.53,-0.68,41.84,16.36
10213,,Non-PSL,,1.26,45.93,15.26
10993,Private,Non-PSL,8.91,2.6,82.46,15.45
10316,Public,Non-PSL,11.87,2.53,66.61,17.52
10430,Public,PSL,7.82,5.16,81.89,14.38
11237,Private,PSL,13.05,4.44,66.46,16.25
13521,Public,PSL,8.61,2.52,60.57,17.27
14811,Public,PSL,8.18,-0.87,52.74,16.87
11483,Public,PSL,10.81,4.23,67.88,14.89
13463,Public,Non-PSL,11.45,0.7,58.05,15.29
12330,Foreign,PSL,7.36,3.73,49.73,12.24
11806,Public,Non-PSL,12.42,6.0,45.74,12.41
13807,Private,Non-PSL,10.02,2.15,59.8,13.96
14997,Private,PSL,7.84,6.98,48.89,6.36
14312,Public,Non-PSL,13.59,1.5,59.76,18.73
12602,Foreign,Non-PSL,7.38,-0.23,63.79,13.03
12727,Public,PSL,7.46,-1.04,80.57,19.51
14893,Public,Non-PSL,11.27,6.12,44.64,11.77
10592,Private,Non-PSL,11.49,3.25,71.29,14.03
10198,Public,Non-PSL,13.28,-1.36,78.13,19.13
14686,Public,Non-PSL,9.75,2.51,48.41,12.17
13146,Private,PSL,9.58,-1.78,76.34,20.15
11200,Public,Non-PSL,7.91,-1.27,87.06,17.43
10625,Public,Non-PSL,11.33,-1.51,88.11,19.16
13466,Public,Non-PSL,11.94,0.53,69.06,17.87
10127,Private,Non-PSL,12.73,3.46,64.65,16.4
13305,Private,Non-PSL,8.54,-1.6,70.79,16.39
11221,Public,Non-PSL,13.66,5.98,43.28,12.09
13592,Private,PSL,8.23,-1.9,61.1,16.33
11717,Public,PSL,7.4,-1.11,43.8,16.73
13888,Public,Non-PSL,11.45,4.98,40.67,12.4
14699,Private,PSL,7.97,3.32,50.18,12.35
13820,Private,PSL,10.34,1.42,46.07,16.14
11202,Private,Non-PSL,7.17,2.03,59.48,11.4
13474,,Non-PSL,,-0.29,56.69,16.52
12862,Public,PSL,8.98,-0.02,87.99,17.86
12475,Private,PSL,10.73,1.98,74.08,14.63
14498,Foreign,Non-PSL,7.93,2.28,62.26,11.41
12316,,Non-PSL,,7.89,50.78,10.41
11130,Private,Non-PSL,8.82,0.85,82.56,15.65
10109,Private,Non-PSL,8.6,5.67,55.98,12.74
10675,Private,Non-PSL,9.87,7.58,40.7,8.27
13384,Foreign,Non-PSL,8.82,6.53,61.57,10.27
11648,Public,PSL,12.78,6.96,60.15,16.12
12818,Public,Non-PSL,7.08,7.41,88.07,13.56
13273,Private,Non-PSL,12.06,-1.3,48.62,15.62
10018,Foreign,Non-PSL,10.67,1.22,52.01,13.3
10972,Private,PSL,13.56,0.01,87.33,18.68
10511,Public,PSL,11.29,-0.67,46.08,16.66
11863,Private,PSL,8.24,7.58,80.46,11.85
13970,Public,Non-PSL,9.78,-1.33,66.02,16.69
11355,Public,Non-PSL,10.41,7.21,79.96,13.19
14005,Foreign,Non-PSL,8.04,4.3,79.52,10.68
10946,,Non-PSL,,1.42,74.01,16.77
13226,,Non-PSL,,3.51,51.7,12.71
13813,Private,PSL,8.59,6.46,55.63,12.43
12757,Private,Non-PSL,10.29,0.62,58.67,13.89
12639,Public,Non-PSL,13.66,-1.44,60.59,17.31
14940,Public,PSL,12.68,5.49,78.04,17.5
10274,Foreign,Non-PSL,13.39,5.8,44.43,12.03
10686,Private,Non-PSL,10.9,5.59,54.89,9.45
12709,Public,Non-PSL,7.12,3.37,62.85,14.24
11623,Private,Non-PSL,10.94,2.85,43.26,14.58
12179,Private,Non-PSL,11.86,0.11,64.24,16.35
11704,Public,Non-PSL,10.54,1.03,57.28,15.39
11795,Foreign,PSL,7.29,2.67,63.51,12.3
14222,Foreign,Non-PSL,11.3,3.89,89.32,15.18
13750,Private,Non-PSL,13.19,-0.99,50.65,15.69
12061,Public,PSL,7.44,7.43,87.62,11.42
11551,Private,PSL,13.66,1.34,49.01,16.33
13614,Public,Non-PSL,12.58,-0.94,46.68,17.76
12816,Private,PSL,12.4,3.16,45.06,13.64
14989,Private,PSL,12.12,-1.67,73.39,18.29
11745,Public,PSL,9.91,2.77,80.7,16.41
13897,Private,Non-PSL,8.03,1.22,69.84,13.44
14683,Private,Non-PSL,13.59,1.13,75.84,14.65
11678,Public,PSL,9.82,0.53,70.84,19.84
11094,Public,PSL,10.59,3.64,56.62,14.17
14725,Foreign,PSL,8.54,-0.62,85.78,15.89
14830,Private,Non-PSL,10.52,4.61,80.19,11.87
11153,Private,Non-PSL,11.88,-1.5,58.39,18.34
13523,Foreign,Non-PSL,8.88,-0.43,46.46,13.81
12802,Private,Non-PSL,13.36,-0.77,42.9,16.1
11994,Public,PSL,7.95,-1.17,41.89,15.84
11066,Private,Non-PSL,12.16,5.94,44.55,10.84
14075,Private,Non-PSL,11.78,1.7,47.3,13.04
12248,Private,Non-PSL,12.82,6.63,45.23,10.43
14778,Public,Non-PSL,9.15,7.95,40.84,9.14
11107,Private,Non-PSL,9.77,2.93,79.47,13.7
10368,Private,Non-PSL,13.34,1.71,58.31,12.59
13959,Private,PSL,7.35,4.09,72.33,14.41
10459,Public,Non-PSL,7.39,7.76,41.01,7.92
11503,Private,Non-PSL,7.18,2.74,73.81,13.64
12046,Public,Non-PSL,12.06,1.83,44.78,15.01
10986,Public,PSL,10.47,-1.86,50.69,17.24
14118,Private,PSL,9.85,7.86,43.17,9.79
11452,Private,PSL,11.32,7.97,71.09,12.98
13658,Public,Non-PSL,10.57,0.04,59.71,15.76
11433,Public,Non-PSL,10.42,6.82,88.97,15.4
12236,Private,Non-PSL,11.15,2.73,88.43,14.96
10156,Public,Non-PSL,8.69,1.01,60.85,16.77
10671,Public,Non-PSL,8.21,6.51,85.44,15.53
13923,Public,Non-PSL,12.48,4.15,52.32,12.8
13015,Public,PSL,11.35,4.77,87.95,15.53
12678,Public,PSL,7.41,7.65,78.17,12.76
10715,,PSL,,4.77,88.63,15.92
11639,Private,PSL,13.95,-1.15,64.08,20.96
13847,Public,Non-PSL,13.8,7.33,74.95,13.43
10783,Public,PSL,8.76,3.96,85.85,17.02
14392,Private,Non-PSL,10.79,7.99,81.68,12.38
11638,Public,PSL,8.07,3.87,71.18,13.57
12299,Public,Non-PSL,7.76,1.64,44.78,11.89
10805,Private,Non-PSL,9.97,1.78,89.32,17.43
12019,Foreign,Non-PSL,7.15,1.56,48.73,13.78
10662,Private,PSL,13.91,-0.94,42.4,18.82
13641,Public,Non-PSL,8.67,6.27,65.64,12.01
12610,Public,Non-PSL,7.44,0.11,84.52,17.35
10440,Public,PSL,7.57,6.44,57.22,13.95
10534,Public,PSL,10.89,5.95,42.71,12.69
11338,Public,PSL,11.76,-0.1,48.91,18.51
14463,Public,Non-PSL,13.98,5.36,52.17,13.39
11820,Foreign,Non-PSL,9.67,5.1,55.48,10.49
12324,Private,PSL,9.17,5.03,69.37,13.35
14538,Private,Non-PSL,11.31,5.74,51.97,9.82
14950,Foreign,Non-PSL,12.92,2.4,55.03,13.99
14636,Public,Non-PSL,13.67,-0.01,49.23,16.4
12497,Private,Non-PSL,11.04,-1.27,72.78,18.24
14108,Private,PSL,7.35,6.11,52.47,10.53
11784,Foreign,Non-PSL,11.46,1.16,76.41,16.58
14566,Public,Non-PSL,13.28,1.4,47.45,17.55
11983,Private,Non-PSL,10.21,7.35,66.61,12.12
13184,Public,PSL,8.75,7.96,49.36,12.3
14438,Private,PSL,12.48,0.3,62.11,17.79
10520,Public,Non-PSL,8.05,4.44,75.3,13.52
10728,Public,Non-PSL,12.57,-1.02,62.79,17.79
14178,Private,PSL,12.69,5.98,69.32,14.33
10553,Public,PSL,10.86,7.43,68.79,12.67
13018,Public,Non-PSL,9.83,4.18,67.0,13.05
14271,Private,Non-PSL,11.54,1.1,65.01,14.16
10147,Foreign,Non-PSL,11.27,4.49,79.2,14.16
11305,Public,Non-PSL,11.96,1.82,41.16,15.83
12825,Public,PSL,9.25,2.52,86.66,17.72
10167,Public,PSL,9.25,0.09,60.92,14.19
14558,Public,PSL,11.75,3.05,66.67,16.02
13093,Public,PSL,9.79,3.86,48.49,15.53
11420,Private,PSL,13.54,3.05,66.51,14.89
14985,Public,PSL,10.85,6.7,78.04,14.06
14507,Public,Non-PSL,12.14,-1.11,84.26,17.48
12362,Private,PSL,9.95,2.54,56.87,13.99
11950,Private,PSL,10.04,-1.8,76.09,16.6
13827,Private,Non-PSL,10.27,4.5,64.52,12.61
11359,Public,PSL,8.94,7.45,77.56,15.78
10146,Private,Non-PSL,7.26,6.8,78.99,12.8
13768,Public,PSL,10.04,-0.73,69.62,17.49
12637,Private,PSL,13.76,1.27,76.1,17.48
12101,Public,Non-PSL,13.41,-1.91,60.34,18.14
13615,Public,Non-PSL,9.57,0.33,64.46,15.7
12582,Private,PSL,13.22,1.94,85.75,18.1
10464,Public,PSL,11.08,1.17,85.57,20.17
10850,Public,Non-PSL,11.17,3.06,42.68,13.28
12186,Public,PSL,13.57,7.22,75.71,16.32
14326,Private,Non-PSL,13.65,7.42,84.35,14.12
14786,Public,Non-PSL,9.64,5.68,78.74,11.94
14170,Private,Non-PSL,7.68,0.86,57.62,14.13
13027,Private,Non-PSL,13.61,6.26,42.0,10.36
12659,,PSL,,2.77,66.96,13.5
11736,Public,Non-PSL,13.21,3.63,75.43,15.36
13103,Private,PSL,13.4,1.89,50.04,16.23
14182,Private,PSL,11.71,2.08,55.76,16.39
13347,Public,Non-PSL,8.9,6.11,67.0,11.12
13917,Private,PSL,12.1,3.14,80.23,16.31
10500,Public,Non-PSL,13.9,4.32,41.75,13.49
11050,Public,Non-PSL,7.15,7.36,48.34,10.11
12593,Public,PSL,10.87,5.25,59.38,12.98
10584,Public,Non-PSL,9.3,5.01,67.69,11.47
10110,Public,PSL,7.54,7.66,48.38,11.2
10008,Public,Non-PSL,13.06,6.48,72.19,14.13
12849,,PSL,,-0.82,44.2,17.81
13998,Public,PSL,9.76,7.78,64.9,14.06
13771,Public,Non-PSL,10.83,0.55,68.41,17.89
10161,Private,Non-PSL,9.57,4.17,67.68,8.72
13180,Public,PSL,11.8,-1.05,63.53,19.38
13078,Private,PSL,7.74,3.85,72.68,12.3
12047,Public,Non-PSL,7.47,5.3,59.8,12.09
10558,Private,Non-PSL,7.2,5.36,82.91,11.55
11249,Public,Non-PSL,13.45,5.2,58.05,14.55
14943,Private,Non-PSL,12.94,-1.88,46.22,15.49
12988,Public,Non-PSL,10.53,2.53,40.31,12.31
12648,Public,Non-PSL,10.5,0.0,50.2,13.29
13841,Foreign,Non-PSL,10.72,3.73,46.41,11.54
14281,Public,Non-PSL,8.14,2.18,84.66,16.41
14912,Public,PSL,10.88,7.08,67.19,14.91
13651,Private,PSL,12.39,-0.03,62.47,18.41
14813,Public,Non-PSL,7.09,0.52,65.06,17.69
13481,Public,PSL,8.08,-1.97,74.73,19.16
12729,Public,Non-PSL,8.73,7.34,68.49,11.34
13000,Public,Non-PSL,13.1,-0.96,42.16,16.74
11151,Private,Non-PSL,11.96,3.8,41.12,12.0
12384,Foreign,Non-PSL,10.02,3.61,64.48,12.56
11304,Private,PSL,10.79,5.78,45.8,11.22
13216,Public,PSL,7.82,3.07,63.13,13.92
12847,Private,Non-PSL,12.51,6.32,87.16,14.91
14122,Private,PSL,10.68,2.68,58.56,13.05
13109,Private,Non-PSL,11.13,5.42,88.48,14.34
12882,Private,Non-PSL,12.99,2.57,80.19,16.56
10194,Private,PSL,11.43,7.29,84.43,13.04
14788,Private,PSL,13.34,0.11,66.91,16.71
11124,Private,PSL,12.67,7.99,71.71,13.47
13171,Private,Non-PSL,11.59,6.16,66.61,13.7
11860,Public,PSL,12.1,4.34,77.91,15.5
11513,Public,Non-PSL,13.69,6.46,82.74,14.56
13089,Private,PSL,11.08,-1.48,74.75,20.89
10907,Private,Non-PSL,12.72,2.47,63.69,14.57
14728,Private,PSL,12.91,0.04,66.02,18.75
11668,Private,Non-PSL,13.51,5.44,81.65,13.59
13393,Private,PSL,13.22,7.59,51.56,12.37
11943,Private,PSL,12.49,4.73,51.98,14.07
11542,Public,Non-PSL,7.75,6.05,46.08,10.13
10515,Private,Non-PSL,7.32,-0.94,72.35,15.2
10451,Private,Non-PSL,12.44,0.9,76.45,14.38
12107,Public,Non-PSL,13.0,-1.72,77.95,20.56
14740,Private,PSL,11.35,4.38,57.86,12.47
12000,Public,PSL,8.98,4.22,55.85,14.85
13890,Public,PSL,9.82,-1.0,74.14,17.6
12868,Private,PSL,12.31,1.46,48.94,14.92
11528,Private,Non-PSL,9.15,6.35,81.92,12.51
10420,Public,PSL,12.27,1.21,67.97,18.12
11717,Public,PSL,7.4,-1.11,43.8,16.73
10347,Public,PSL,11.45,-1.86,64.4,20.58
11422,Public,PSL,10.55,2.65,53.01,15.24
11609,Public,PSL,8.64,7.37,41.67,10.28
14345,Private,PSL,11.12,-1.42,89.34,18.28
11636,Public,Non-PSL,8.64,1.38,59.06,12.76
12543,Public,Non-PSL,12.92,3.91,87.29,16.97
14895,Public,PSL,9.71,5.3,43.77,12.28
11819,Foreign,Non-PSL,11.37,6.6,77.83,10.8
14395,Public,Non-PSL,13.62,1.78,65.2,16.69
11423,Public,PSL,7.29,-1.42,87.1,17.65
11803,Public,Non-PSL,9.47,0.19,58.67,15.56
13629,Public,Non-PSL,12.55,0.83,84.64,19.97
13029,Public,Non-PSL,11.7,3.24,49.3,14.35
10270,Public,PSL,9.06,1.05,62.57,15.35
13004,Private,Non-PSL,11.37,7.23,58.43,13.83
10927,Public,PSL,8.88,5.77,81.72,12.25
13762,Public,PSL,12.14,4.71,64.08,15.34
11036,Public,Non-PSL,11.87,0.36,87.26,19.85
10689,Private,PSL,12.39,-0.53,79.93,17.59
12516,Private,Non-PSL,13.48,6.21,61.63,11.4
14458,Public,PSL,7.98,6.71,45.72,10.23
13111,Public,Non-PSL,11.46,3.0,51.15,12.01
14144,Public,Non-PSL,12.82,3.11,63.46,16.42
10835,Public,Non-PSL,10.49,5.96,65.33,15.67
10033,Private,PSL,7.46,3.64,83.89,14.28
11347,Private,PSL,9.42,0.74,87.32,16.89
14191,Private,Non-PSL,12.27,7.04,61.0,10.49
14647,Private,PSL,11.74,5.82,84.06,14.47
11840,Public,Non-PSL,8.57,7.68,48.63,8.98
12202,Public,Non-PSL,7.78,-0.64,79.63,15.95
14321,Private,Non-PSL,11.06,0.1,47.42,14.52
11747,Public,Non-PSL,7.13,4.79,40.28,12.2
13400,Public,PSL,11.04,7.57,40.36,12.49
13209,Public,Non-PSL,10.07,1.05,47.42,14.65
12469,Public,Non-PSL,10.33,4.14,67.57,15.43
12983,Foreign,Non-PSL,11.93,4.88,44.66,10.07
11265,Public,PSL,7.08,6.43,76.34,12.83
11263,Foreign,Non-PSL,9.17,-0.43,70.62,14.53
10589,Private,PSL,7.9,7.29,80.13,11.37
14071,,PSL,,6.87,67.28,10.75
14867,Private,PSL,9.49,2.28,73.79,16.96
12072,Private,Non-PSL,10.64,2.32,60.75,12.02
14196,Public,Non-PSL,8.31,-1.07,43.48,15.66
14568,Foreign,Non-PSL,8.54,6.91,84.46,12.57
11856,Private,Non-PSL,8.77,1.27,46.0,13.28
10442,Public,PSL,13.91,0.18,77.98,19.49
12331,Private,Non-PSL,8.8,0.15,70.65,13.09
14524,Foreign,PSL,11.18,4.72,50.43,11.85
10901,Private,PSL,8.46,4.32,65.72,12.52
10846,Foreign,Non-PSL,9.9,0.36,82.77,14.97
12300,Private,Non-PSL,9.37,4.39,59.15,12.28
13391,Private,PSL,9.26,4.06,43.19,10.04
13028,Private,Non-PSL,11.49,0.28,50.04,15.04
11673,Private,Non-PSL,13.08,0.46,51.65,15.12
13369,Public,PSL,8.34,4.18,80.62,15.34
10825,Private,PSL,10.76,-0.26,74.87,19.26
12828,Private,PSL,7.67,1.36,41.18,14.04
13277,Public,PSL,12.9,3.1,66.98,17.7
10490,Public,Non-PSL,13.23,7.15,56.09,13.44
10481,Private,Non-PSL,11.41,6.12,52.58,11.01
13514,Public,Non-PSL,12.72,4.88,76.53,14.52
10120,Public,Non-PSL,10.78,0.82,77.71,19.95
12504,Private,PSL,13.69,-0.7,72.75,18.63
11634,Public,PSL,12.57,3.25,84.23,17.94
10932,Private,PSL,12.84,1.31,58.58,15.34
11708,Public,Non-PSL,8.51,3.45,89.84,16.19
14544,Private,PSL,8.98,2.69,54.24,14.21
13227,Public,Non-PSL,8.69,1.6,60.59,14.09
11375,Private,PSL,8.73,0.09,85.88,19.59
10830,Foreign,PSL,10.17,3.35,66.21,13.37
11555,Public,Non-PSL,8.6,5.61,70.35,11.81
12859,Public,Non-PSL,7.25,-0.64,63.4,14.9
10043,Private,PSL,7.24,-0.08,51.24,15.53
14792,Public,Non-PSL,13.67,3.17,58.17,14.91
13550,Public,PSL,10.94,-1.04,45.08,18.55
12907,Public,PSL,13.81,-0.7,68.72,20.19
10104,Public,Non-PSL,10.56,1.32,56.89,15.92
11788,Private,Non-PSL,11.3,6.05,68.95,14.22
11880,Public,PSL,10.96,0.66,82.81,19.94
10013,Public,Non-PSL,12.83,3.35,86.39,17.31
11402,Private,Non-PSL,8.17,6.82,62.63,11.91
12532,Private,PSL,12.8,-0.81,72.66,20.28
13941,Private,Non-PSL,12.3,2.62,47.54,14.07
10982,Private,Non-PSL,12.4,-1.83,69.61,19.38
10446,Private,PSL,13.63,-0.01,75.8,20.78
10936,Public,PSL,8.91,5.33,49.6,11.49
11692,Private,PSL,10.52,0.18,68.54,18.33
11590,Public,PSL,12.02,5.91,73.94,16.28
13496,Public,Non-PSL,8.48,7.78,58.79,11.52
11100,Private,Non-PSL,9.45,6.74,89.47,11.35
13070,Public,Non-PSL,11.73,3.71,73.72,14.23
12542,Public,Non-PSL,12.36,-1.39,61.31,16.94
14212,Private,Non-PSL,11.1,7.42,87.94,12.51
11834,Foreign,Non-PSL,12.24,7.19,85.98,13.18
10888,Public,PSL,8.67,7.17,54.23,10.96
10707,Private,Non-PSL,9.26,6.96,71.32,12.99
14611,Private,PSL,9.37,5.0,59.54,13.31
13729,,PSL,,1.56,49.41,16.78
11687,Public,PSL,13.46,1.73,42.94,17.54
14930,Public,Non-PSL,13.43,6.93,61.64,13.69
14327,Private,PSL,7.15,5.55,60.54,11.68
14295,Public,Non-PSL,9.77,7.49,79.01,13.44
10312,Public,Non-PSL,7.55,4.15,54.06,12.43
10454,Private,Non-PSL,13.34,2.11,85.15,18.77
14100,Public,Non-PSL,7.19,1.78,84.75,15.53
13498,Private,PSL,13.2,3.56,44.72,17.68
14064,Private,Non-PSL,8.77,1.93,63.68,12.69
13480,,Non-PSL,,7.56,83.24,13.01
11601,Foreign,Non-PSL,8.34,3.33,59.25,11.59
13050,Foreign,Non-PSL,8.85,-0.61,65.92,14.58
10852,Private,Non-PSL,12.25,7.6,58.75,11.67
10702,Public,PSL,7.36,1.55,62.15,15.78
11216,Public,Non-PSL,8.55,6.03,52.44,11.0
12146,Public,Non-PSL,12.75,5.2,72.42,15.36
12935,Private,Non-PSL,11.97,0.63,72.9,15.98
13634,Private,Non-PSL,9.46,2.09,73.05,15.4
12398,Public,Non-PSL,7.18,6.95,47.81,9.09
14083,Public,PSL,11.38,1.31,88.61,18.21
10607,Public,Non-PSL,8.44,6.7,72.44,12.24
14243,Public,Non-PSL,12.29,4.99,82.56,15.07
13819,Private,PSL,12.74,3.77,72.63,15.78
13564,Foreign,PSL,9.93,6.82,67.81,12.71
11974,Foreign,Non-PSL,10.63,2.13,71.13,12.49
11298,Public,Non-PSL,7.73,-1.17,46.59,15.08
10583,Public,PSL,10.45,6.26,63.61,13.27
14497,Public,Non-PSL,10.42,2.95,78.3,15.4
13057,Foreign,Non-PSL,11.23,1.36,53.73,13.94
13308,Public,Non-PSL,7.48,1.38,86.36,17.43
