Batch_ID,Avg_Pour_Temp,Cooling_Rate_Zone3,Gas_Pretreatment_Level,Alloy_Composition,Mould_Sand_Humidity,Casting_Thickness,Defect_Type
CAST_B0094,730.31,0.97,5.0,Al-Si7Mg,3.93,20.8,No Defect
CAST_B0095,729.68,1.0,3.0,Al-Zn10,3.25,11.7,No Defect
CAST_B0096,729.25,1.11,3.0,Al-Zn10,3.23,28.1,No Defect
CAST_B0097,,1.87,2.0,Al-Zn10,3.23,26.6,Shrinkage Porosity
CAST_B0098,730.74,0.9,2.0,Al-Si7Mg,6.79,24.9,Gas Porosity
CAST_B0099,730.2,0.96,5.0,Al-Zn10,3.89,20.1,No Defect
CAST_B0100,719.12,1.5,2.0,Al-Si7Mg,5.9,12.3,Gas Porosity
CAST_B0101,,2.03,2.0,Al-Cu4,5.9,30.0,Shrinkage Porosity
,729.19,1.08,3.0,Al-Cu4,3.65,25.8,No Defect
CAST_B0103,730.17,1.01,5.0,Al-Zn10,3.13,,No Defect
CAST_B0104,,,3.0,Al-Si7Mg,2.75,15.1,No Defect
CAST_B0105,730.79,0.94,3.0,Al-Si7Mg,4.38,27.2,No Defect
CAST_B0106,732.04,0.93,4.0,Al-Si7Mg,3.95,23.0,No Defect
CAST_B0107,730.31,1.03,3.0,Al-Cu4,4.03,13.8,No Defect
CAST_B0108,729.45,1.01,5.0,Al-Zn10,3.26,19.8,No Defect
CAST_B0109,730.42,1.03,3.0,Al-Cu4,3.45,24.4,No Defect
CAST_B0110,747.79,1.85,5.0,Al-Zn10,3.45,22.9,Shrinkage Porosity
CAST_B0111,749.69,2.73,2.0,Al-Zn10,3.12,18.1,Hot Tear
CAST_B0112,736.59,2.24,3.0,Al-Zn10,5.15,14.3,Hot Tear
CAST_B0113,737.35,1.51,1.0,Al-Zn10,5.15,26.2,Shrinkage Porosity
CAST_B0114,730.13,0.97,5.0,Al-Cu4,4.46,24.2,No Defect
,729.49,1.11,1.0,Al-Zn10,2.94,26.4,Gas Porosity
CAST_B0116,729.77,0.98,3.0,Al-Zn10,3.46,23.4,No Defect
CAST_B0117,,1.08,3.0,Al-Cu4,3.25,18.7,No Defect
CAST_B0118,730.58,0.91,4.0,Al-Zn10,3.61,29.9,No Defect
CAST_B0119,730.88,1.01,5.0,Al-Zn10,2.99,24.3,No Defect
CAST_B0120,730.24,1.04,3.0,Al-Cu4,2.91,21.3,No Defect
CAST_B0121,731.3,0.98,4.0,Al-Cu4,3.87,25.1,No Defect
CAST_B0122,730.4,,4.0,Al-Zn10,3.88,22.1,No Defect
CAST_B0123,730.53,1.03,4.0,Al-Zn10,3.63,25.5,No Defect
CAST_B0124,730.82,1.07,3.0,Al-Si7Mg,3.16,19.1,No Defect
CAST_B0125,745.86,2.76,1.0,Al-Cu4,4.06,10.1,Hot Tear
,,1.0,3.0,Al-Si7Mg,2.34,,No Defect
CAST_B0127,730.34,0.94,5.0,Al-Si7Mg,3.08,13.9,No Defect
CAST_B0128,737.95,1.84,2.0,Al-Cu4,3.08,31.3,Shrinkage Porosity
CAST_B0129,,0.95,2.0,Al-Si7Mg,4.88,,Gas Porosity
CAST_B0130,,0.96,3.0,Al-Cu4,3.62,21.1,No Defect
CAST_B0131,737.28,2.2,3.0,Al-Si7Mg,3.62,27.1,Shrinkage Porosity
CAST_B0132,,1.01,5.0,Al-Zn10,4.07,,No Defect
CAST_B0133,751.9,1.07,3.0,Al-Cu4,3.32,13.3,Hot Tear
CAST_B0134,,0.99,4.0,Al-Zn10,3.77,21.3,No Defect
CAST_B0135,741.96,1.9,4.0,Al-Zn10,3.77,26.9,Shrinkage Porosity
CAST_B0136,,2.68,3.0,Al-Si7Mg,3.28,21.3,Hot Tear
CAST_B0137,717.0,1.14,2.0,Al-Si7Mg,5.34,,Gas Porosity
CAST_B0138,731.6,1.07,5.0,Al-Cu4,3.06,24.1,No Defect
CAST_B0139,729.34,1.12,3.0,Al-Zn10,3.39,24.2,No Defect
CAST_B0140,729.18,1.09,5.0,Al-Cu4,3.45,19.5,No Defect
CAST_B0141,730.55,,4.0,Al-Si7Mg,3.46,26.6,No Defect
CAST_B0142,730.73,1.03,3.0,Al-Cu4,3.79,25.1,No Defect
CAST_B0143,730.4,1.02,5.0,Al-Si7Mg,3.12,16.8,No Defect
CAST_B0144,729.31,0.97,4.0,Al-Zn10,3.1,21.1,No Defect
CAST_B0145,737.93,2.72,5.0,Al-Si7Mg,3.1,23.0,Shrinkage Porosity
CAST_B0146,738.78,2.86,1.0,Al-Cu4,1.85,13.4,Hot Tear
CAST_B0147,730.73,1.08,4.0,Al-Si7Mg,3.7,20.7,No Defect
CAST_B0148,729.52,0.97,4.0,Al-Zn10,3.02,,No Defect
CAST_B0149,730.36,1.13,3.0,Al-Si7Mg,4.08,23.1,No Defect
CAST_B0150,727.63,0.93,3.0,Al-Si7Mg,3.15,,No Defect
CAST_B0151,730.25,0.93,5.0,Al-Zn10,4.27,12.1,No Defect
CAST_B0152,730.77,1.01,3.0,Al-Zn10,3.38,18.9,No Defect
CAST_B0153,730.67,0.98,5.0,Al-Zn10,3.49,,No Defect
CAST_B0154,731.6,0.95,4.0,Al-Cu4,4.12,,No Defect
CAST_B0155,722.56,1.18,1.0,Al-Cu4,6.06,30.1,Gas Porosity
CAST_B0156,729.15,0.99,5.0,Al-Zn10,3.43,17.2,No Defect
CAST_B0157,730.34,1.01,5.0,Al-Zn10,2.8,25.7,No Defect
CAST_B0158,727.67,1.01,4.0,Al-Si7Mg,3.61,15.2,No Defect
CAST_B0159,730.4,0.99,5.0,Al-Si7Mg,3.22,24.6,No Defect
CAST_B0160,737.43,1.47,2.0,Al-Zn10,3.22,29.6,Shrinkage Porosity
CAST_B0161,729.34,1.02,4.0,Al-Si7Mg,3.81,23.0,No Defect
CAST_B0162,729.65,0.99,5.0,Al-Cu4,3.51,10.6,No Defect
CAST_B0163,743.32,1.12,5.0,Al-Cu4,3.51,24.2,Shrinkage Porosity
CAST_B0164,729.97,0.94,4.0,Al-Zn10,3.57,24.5,No Defect
CAST_B0165,729.69,1.04,3.0,Al-Zn10,2.72,16.7,No Defect
CAST_B0166,730.31,0.94,5.0,Al-Cu4,3.87,,No Defect
CAST_B0167,732.21,1.03,2.0,Al-Zn10,6.61,23.9,Gas Porosity
CAST_B0168,731.4,1.0,3.0,Al-Cu4,2.38,19.0,No Defect
CAST_B0169,727.89,1.0,4.0,Al-Zn10,4.21,26.8,No Defect
CAST_B0170,730.07,1.01,4.0,Al-Si7Mg,4.14,16.4,No Defect
CAST_B0171,737.81,1.61,3.0,Al-Si7Mg,4.14,28.9,Shrinkage Porosity
CAST_B0172,,0.95,5.0,Al-Si7Mg,3.1,24.2,No Defect
CAST_B0173,730.67,1.02,4.0,Al-Zn10,3.29,19.7,No Defect
CAST_B0174,733.49,1.02,1.0,Al-Zn10,6.44,17.8,Gas Porosity
CAST_B0175,740.96,2.2,5.0,Al-Si7Mg,6.44,28.3,Shrinkage Porosity
CAST_B0176,730.6,,5.0,Al-Si7Mg,3.38,26.0,No Defect
,730.02,1.0,4.0,Al-Si7Mg,4.08,19.0,No Defect
CAST_B0178,728.24,1.05,5.0,Al-Si7Mg,3.12,18.9,No Defect
CAST_B0179,728.33,1.04,3.0,Al-Cu4,3.46,23.9,No Defect
CAST_B0180,728.35,0.97,5.0,Al-Cu4,3.37,17.8,No Defect
CAST_B0181,729.54,0.88,4.0,Al-Cu4,3.28,23.1,No Defect
CAST_B0182,744.15,2.19,4.0,Al-Cu4,3.28,32.6,Shrinkage Porosity
CAST_B0183,731.06,0.99,4.0,Al-Zn10,2.89,12.8,No Defect
CAST_B0184,733.73,1.06,2.0,Al-Cu4,6.48,,Gas Porosity
CAST_B0185,754.81,2.78,4.0,Al-Si7Mg,3.87,12.5,Hot Tear
CAST_B0186,728.31,1.02,4.0,Al-Si7Mg,3.02,9.4,No Defect
CAST_B0187,727.38,1.04,2.0,Al-Si7Mg,6.91,19.7,Gas Porosity
CAST_B0188,741.42,2.27,3.0,Al-Cu4,6.91,26.9,Shrinkage Porosity
,729.63,1.02,4.0,Al-Cu4,4.04,17.1,No Defect
CAST_B0190,738.76,2.12,2.0,Al-Si7Mg,2.97,15.0,Hot Tear
CAST_B0191,722.01,1.04,2.0,Al-Si7Mg,5.05,32.6,Gas Porosity
CAST_B0192,,1.02,3.0,Al-Zn10,4.16,17.7,No Defect
CAST_B0193,729.58,0.87,3.0,Al-Zn10,4.48,20.1,No Defect
,,1.81,5.0,Al-Si7Mg,4.48,31.3,Shrinkage Porosity
CAST_B0195,729.67,0.98,4.0,Al-Cu4,3.6,23.0,No Defect
CAST_B0196,732.13,1.0,5.0,Al-Si7Mg,2.55,14.2,No Defect
CAST_B0197,749.23,3.26,5.0,Al-Cu4,4.26,22.2,Hot Tear
CAST_B0198,729.09,1.0,5.0,Al-Zn10,3.57,,No Defect
CAST_B0199,,1.07,5.0,Al-Cu4,2.73,23.2,No Defect
CAST_B0200,738.94,1.4,1.0,Al-Zn10,2.73,28.3,Shrinkage Porosity
CAST_B0201,742.73,1.61,2.0,Al-Zn10,2.73,,Shrinkage Porosity
CAST_B0202,730.88,1.03,3.0,Al-Si7Mg,3.38,28.5,No Defect
CAST_B0203,728.98,1.01,3.0,Al-Cu4,2.56,17.2,No Defect
CAST_B0204,729.19,1.0,5.0,Al-Si7Mg,2.35,15.3,No Defect
CAST_B0205,728.99,0.86,5.0,Al-Si7Mg,3.33,13.0,No Defect
CAST_B0206,739.39,2.21,2.0,Al-Si7Mg,3.33,,Shrinkage Porosity
CAST_B0207,728.69,1.02,5.0,Al-Zn10,2.95,19.5,No Defect
CAST_B0208,740.7,2.01,1.0,Al-Cu4,2.95,29.6,Shrinkage Porosity
CAST_B0209,,1.02,4.0,Al-Cu4,3.3,27.1,No Defect
CAST_B0210,,1.07,4.0,Al-Zn10,4.04,23.3,No Defect
CAST_B0211,729.67,1.04,4.0,Al-Cu4,4.37,21.5,No Defect
CAST_B0212,729.46,1.09,3.0,Al-Si7Mg,3.24,10.6,No Defect
CAST_B0213,730.0,1.0,3.0,Al-Si7Mg,3.8,21.1,No Defect
CAST_B0214,730.84,0.93,5.0,Al-Si7Mg,3.8,16.9,No Defect
CAST_B0215,729.32,1.01,3.0,Al-Si7Mg,4.13,18.4,No Defect
CAST_B0216,730.99,0.91,5.0,Al-Cu4,3.22,20.6,No Defect
CAST_B0217,,1.0,3.0,Al-Si7Mg,4.1,16.9,No Defect
CAST_B0218,729.8,0.99,4.0,Al-Si7Mg,3.53,13.1,No Defect
CAST_B0219,742.46,2.03,1.0,Al-Zn10,3.53,28.0,Shrinkage Porosity
CAST_B0220,731.74,1.04,5.0,Al-Si7Mg,3.95,23.1,No Defect
CAST_B0221,736.13,1.94,5.0,Al-Cu4,3.95,27.1,Shrinkage Porosity
CAST_B0222,727.79,0.99,5.0,Al-Zn10,3.27,24.7,No Defect
,729.66,1.04,5.0,Al-Si7Mg,3.67,27.8,No Defect
CAST_B0224,730.66,0.9,4.0,Al-Zn10,3.51,19.9,No Defect
CAST_B0225,731.46,1.0,4.0,Al-Cu4,3.91,21.0,No Defect
CAST_B0226,729.77,0.93,5.0,Al-Si7Mg,3.8,21.7,No Defect
CAST_B0227,729.37,1.04,3.0,Al-Cu4,3.94,26.7,No Defect
CAST_B0228,735.36,2.03,1.0,Al-Cu4,3.94,,Shrinkage Porosity
CAST_B0229,744.1,1.24,4.0,Al-Zn10,3.94,26.2,Shrinkage Porosity
CAST_B0230,729.1,1.01,3.0,Al-Zn10,4.25,22.7,No Defect
CAST_B0231,730.04,1.03,5.0,Al-Zn10,3.23,15.9,No Defect
,730.52,,5.0,Al-Si7Mg,4.15,23.3,No Defect
CAST_B0233,728.86,0.95,5.0,Al-Cu4,3.15,24.8,No Defect
CAST_B0234,729.54,0.97,5.0,Al-Zn10,3.31,,No Defect
,728.27,1.03,4.0,Al-Zn10,3.41,25.6,No Defect
,724.45,1.08,1.0,Al-Zn10,6.18,19.9,Gas Porosity
CAST_B0237,719.34,0.73,1.0,Al-Cu4,8.38,20.8,Gas Porosity
,747.06,1.58,,Al-Si7Mg,4.71,14.8,Hot Tear
CAST_B0239,729.29,0.96,4.0,Al-Cu4,3.88,16.3,No Defect
CAST_B0240,729.73,1.0,4.0,Al-Si7Mg,3.32,32.3,No Defect
CAST_B0241,721.78,0.5,1.0,Al-Zn10,8.16,15.7,Gas Porosity
CAST_B0242,728.23,,4.0,Al-Si7Mg,3.19,27.1,No Defect
CAST_B0243,730.39,1.05,,Al-Zn10,2.61,14.2,No Defect
CAST_B0244,730.91,0.99,4.0,Al-Zn10,3.83,16.1,No Defect
CAST_B0245,731.39,1.05,5.0,Al-Zn10,4.29,20.7,No Defect
,729.35,1.04,5.0,Al-Si7Mg,2.94,23.1,No Defect
CAST_B0247,742.79,1.73,2.0,Al-Si7Mg,2.94,32.3,Shrinkage Porosity
CAST_B0248,739.38,1.58,1.0,Al-Zn10,2.94,22.5,Shrinkage Porosity
CAST_B0249,732.98,0.9,2.0,Al-Zn10,9.76,18.4,Gas Porosity
CAST_B0250,730.78,0.99,4.0,Al-Si7Mg,3.41,,No Defect
CAST_B0251,738.42,1.77,4.0,Al-Zn10,3.41,,Shrinkage Porosity
CAST_B0252,721.98,0.55,2.0,Al-Si7Mg,6.42,29.9,Gas Porosity
CAST_B0253,728.96,1.07,3.0,Al-Cu4,3.86,20.1,No Defect
CAST_B0254,729.57,0.98,4.0,Al-Zn10,3.67,29.3,No Defect
CAST_B0255,732.61,1.34,1.0,Al-Si7Mg,3.67,27.7,Shrinkage Porosity
CAST_B0256,728.37,1.09,4.0,Al-Si7Mg,4.03,20.5,No Defect
CAST_B0257,723.38,1.0,1.0,Al-Si7Mg,6.6,,Gas Porosity
CAST_B0258,742.36,1.22,2.0,Al-Cu4,6.6,25.4,Shrinkage Porosity
CAST_B0259,742.02,1.87,4.0,Al-Cu4,6.6,,Shrinkage Porosity
CAST_B0260,740.68,1.5,5.0,Al-Zn10,6.6,25.2,Shrinkage Porosity
CAST_B0261,732.93,1.29,1.0,Al-Zn10,5.88,23.1,Gas Porosity
CAST_B0262,729.82,0.99,3.0,Al-Zn10,3.48,6.9,No Defect
CAST_B0263,737.77,1.71,4.0,Al-Zn10,3.48,25.4,Shrinkage Porosity
CAST_B0264,731.45,1.02,5.0,Al-Si7Mg,3.49,25.7,No Defect
CAST_B0265,729.43,0.99,3.0,Al-Si7Mg,3.14,16.1,No Defect
CAST_B0266,737.56,1.24,1.0,Al-Zn10,11.11,23.2,Gas Porosity
CAST_B0267,731.17,1.0,4.0,Al-Cu4,3.3,13.0,No Defect
CAST_B0268,731.93,1.04,3.0,Al-Zn10,3.32,16.7,No Defect
CAST_B0269,730.74,1.05,4.0,Al-Si7Mg,2.78,,No Defect
CAST_B0270,728.62,1.06,4.0,Al-Cu4,3.56,,No Defect
CAST_B0271,731.68,1.03,5.0,Al-Cu4,4.17,16.4,No Defect
CAST_B0272,729.78,0.94,3.0,Al-Si7Mg,2.94,,No Defect
CAST_B0273,740.68,1.74,2.0,Al-Zn10,2.94,29.0,Shrinkage Porosity
CAST_B0274,743.12,2.34,5.0,Al-Si7Mg,2.94,28.2,Shrinkage Porosity
CAST_B0275,726.13,0.53,2.0,Al-Si7Mg,7.0,15.2,Gas Porosity
CAST_B0276,743.32,1.49,4.0,Al-Zn10,7.0,21.2,Shrinkage Porosity
CAST_B0277,716.21,1.0,2.0,Al-Zn10,6.01,17.8,Gas Porosity
CAST_B0278,727.75,0.85,2.0,Al-Si7Mg,5.61,21.8,Gas Porosity
CAST_B0279,730.33,1.0,4.0,Al-Cu4,2.57,,No Defect
CAST_B0280,729.63,0.98,3.0,Al-Zn10,3.34,20.9,No Defect
CAST_B0281,732.46,0.93,2.0,Al-Cu4,7.74,21.7,Gas Porosity
CAST_B0282,740.91,1.9,5.0,Al-Cu4,7.74,27.8,Shrinkage Porosity
CAST_B0283,729.81,0.99,3.0,Al-Si7Mg,3.86,19.8,No Defect
CAST_B0284,729.38,1.07,5.0,Al-Zn10,3.57,25.3,No Defect
CAST_B0285,730.24,0.93,3.0,Al-Si7Mg,3.54,19.7,No Defect
CAST_B0286,736.63,1.65,3.0,Al-Cu4,3.54,29.8,Shrinkage Porosity
CAST_B0287,735.71,1.54,5.0,Al-Si7Mg,3.54,25.3,Shrinkage Porosity
CAST_B0288,740.6,2.09,1.0,Al-Si7Mg,3.54,32.0,Shrinkage Porosity
CAST_B0289,,1.74,5.0,Al-Cu4,3.54,29.7,Shrinkage Porosity
CAST_B0290,731.5,0.95,3.0,Al-Zn10,2.76,18.9,No Defect
,729.95,0.99,,Al-Cu4,4.14,24.3,No Defect
CAST_B0292,729.28,1.06,5.0,Al-Zn10,3.18,15.6,No Defect
CAST_B0293,730.12,0.99,5.0,Al-Si7Mg,3.71,29.6,No Defect
CAST_B0294,729.09,1.13,5.0,Al-Si7Mg,3.37,14.1,No Defect
CAST_B0295,728.85,0.99,4.0,Al-Cu4,2.74,16.1,No Defect
CAST_B0296,730.87,1.03,5.0,Al-Zn10,2.9,19.4,No Defect
CAST_B0297,730.15,1.01,4.0,Al-Zn10,2.98,14.2,No Defect
CAST_B0298,728.69,1.04,5.0,Al-Cu4,3.86,27.2,No Defect
CAST_B0299,728.12,1.09,4.0,Al-Si7Mg,2.53,32.0,No Defect
CAST_B0300,730.37,1.0,5.0,Al-Cu4,3.36,23.4,No Defect
CAST_B0301,728.3,0.97,4.0,Al-Cu4,3.96,27.8,No Defect
CAST_B0302,744.48,1.74,2.0,Al-Si7Mg,3.96,27.0,Shrinkage Porosity
CAST_B0303,727.37,1.06,3.0,Al-Cu4,3.7,29.0,No Defect
CAST_B0304,735.57,2.13,1.0,Al-Cu4,3.7,30.1,Shrinkage Porosity
CAST_B0305,730.09,0.97,3.0,Al-Cu4,3.85,20.6,No Defect
CAST_B0306,742.95,2.36,4.0,Al-Zn10,3.85,27.4,Shrinkage Porosity
CAST_B0307,730.56,,4.0,Al-Zn10,4.21,20.4,No Defect
CAST_B0308,731.67,1.01,4.0,Al-Cu4,3.52,14.6,No Defect
CAST_B0309,732.12,1.08,3.0,Al-Si7Mg,3.65,27.1,No Defect
CAST_B0310,730.65,1.0,3.0,Al-Si7Mg,3.51,12.2,No Defect
CAST_B0311,730.12,1.04,5.0,Al-Zn10,4.22,22.3,No Defect
CAST_B0312,741.8,2.12,5.0,Al-Si7Mg,4.22,30.4,Shrinkage Porosity
CAST_B0313,717.16,1.18,2.0,Al-Zn10,4.99,22.7,Gas Porosity
CAST_B0314,729.52,1.13,5.0,Al-Zn10,3.71,26.1,No Defect
CAST_B0315,739.15,2.24,1.0,Al-Si7Mg,2.75,8.0,Hot Tear
CAST_B0316,731.17,1.07,5.0,Al-Si7Mg,3.24,13.4,No Defect
CAST_B0317,730.91,1.1,5.0,Al-Cu4,3.9,22.6,No Defect
CAST_B0318,730.09,1.02,4.0,Al-Cu4,4.13,,No Defect
CAST_B0319,,1.87,4.0,Al-Zn10,1.85,14.5,Hot Tear
CAST_B0320,730.25,0.98,4.0,Al-Cu4,4.02,11.0,No Defect
CAST_B0321,729.01,1.02,4.0,Al-Cu4,3.56,15.3,No Defect
CAST_B0322,731.11,1.0,4.0,Al-Si7Mg,3.54,29.5,No Defect
CAST_B0323,,0.97,4.0,Al-Si7Mg,2.48,24.4,No Defect
CAST_B0324,730.76,1.02,3.0,Al-Cu4,4.76,30.0,No Defect
CAST_B0325,730.77,1.09,,Al-Cu4,3.32,24.4,No Defect
CAST_B0326,730.85,1.02,4.0,Al-Cu4,3.8,23.9,No Defect
CAST_B0327,729.0,1.0,3.0,Al-Cu4,3.73,21.1,No Defect
CAST_B0328,743.74,2.99,4.0,Al-Zn10,3.27,11.8,Hot Tear
CAST_B0329,741.88,1.59,1.0,Al-Zn10,3.27,,Shrinkage Porosity
,729.45,1.05,3.0,Al-Cu4,2.62,17.4,No Defect
