Household_ID,Location,Annual_Income_Lakhs,Annual_Expenditure_Lakhs
2820,Urban,,17.35
1345,Rural,16.95,9.38
3998,Urban,34.31,25.14
130,Urban,30.41,22.41
3503,Rural,12.7,6.57
3385,Urban,12.0,9.91
2122,Urban,7.8,9.89
3278,Urban,17.1,16.12
2461,Rural,18.86,11.11
4751,Urban,14.7,15.54
609,Urban,17.92,13.55
1225,Urban,7.28,9.58
4801,Urban,28.33,20.63
484,Rural,26.54,17.25
3090,Urban,31.41,24.46
3067,Urban,18.91,16.62
2104,Rural,23.02,13.23
4704,Urban,28.8,20.59
3064,Rural,9.26,6.71
4150,Rural,20.87,11.01
4833,Rural,9.04,3.11
3266,Urban,4.43,7.04
133,Urban,7.09,11.07
2891,Urban,8.67,8.68
4199,Urban,25.03,20.44
2309,Urban,28.47,21.1
4543,Urban,14.79,11.61
503,Urban,11.22,11.98
3837,Rural,19.6,10.62
2400,Rural,11.75,8.26
2933,Urban,22.5,16.38
3720,Urban,19.37,17.44
1454,Urban,13.93,12.69
328,Rural,8.79,10.27
553,Urban,33.23,22.17
2906,Urban,34.75,23.53
1104,Rural,32.08,13.66
3001,Rural,26.33,12.81
2658,Rural,24.75,13.34
3185,,12.95,14.42
4477,Urban,34.34,24.95
2406,Rural,,4.31
2586,Rural,24.93,14.11
2583,Urban,4.04,3.75
1732,Rural,10.93,6.77
4796,Urban,21.77,19.28
3150,Urban,11.82,15.43
584,Urban,25.75,16.8
4326,Rural,33.21,20.78
4793,Urban,4.46,5.97
3675,Rural,5.86,3.25
4518,Rural,26.33,15.01
1169,Urban,5.73,10.42
4314,Rural,15.4,11.66
3803,Rural,18.9,7.63
2619,Rural,34.11,15.43
4495,Rural,,12.14
3305,Urban,5.25,9.88
3403,Rural,22.08,11.1
3677,,8.45,8.0
2117,Urban,28.94,19.21
3722,Rural,27.36,17.83
862,Urban,20.06,13.44
2607,Urban,,9.11
3443,Urban,24.27,17.6
1634,Rural,20.26,10.44
188,Urban,15.27,12.63
1080,Rural,15.05,8.58
725,Urban,8.04,10.87
2191,Urban,21.36,15.94
3618,Rural,7.03,6.58
1478,Rural,7.63,7.76
1397,Urban,19.44,14.15
2612,Urban,9.54,9.73
3,Rural,,17.52
4660,Rural,29.34,13.27
3627,Urban,,12.13
4262,,19.71,12.77
720,Rural,8.46,8.9
2944,Rural,9.08,7.22
4583,Rural,8.48,3.9
3102,Rural,34.64,19.68
1503,Urban,18.71,12.05
663,Rural,29.2,17.96
2116,Urban,32.15,23.37
968,Urban,6.71,6.33
2869,Urban,15.09,14.65
1196,Rural,8.83,6.23
13,Rural,20.6,11.37
4206,Urban,,5.48
807,Rural,14.61,9.21
3324,Urban,17.68,11.28
4829,Urban,27.91,20.84
470,Rural,15.15,9.55
2209,Urban,,13.37
2243,Urban,7.71,7.4
1294,Rural,13.91,9.15
4922,Rural,30.97,15.54
4408,Urban,20.58,18.43
4501,Urban,20.02,17.52
1669,Urban,8.71,13.54
4141,Urban,16.55,14.59
232,Urban,17.0,15.37
2257,Urban,5.57,5.15
1849,Rural,22.57,11.42
3630,,25.29,12.24
3689,,10.91,9.93
882,Rural,23.43,15.13
4290,Rural,10.87,5.12
1227,Urban,7.76,9.8
464,Urban,13.82,11.42
4217,Urban,20.64,16.73
1470,Rural,27.76,16.12
1277,Urban,11.93,13.67
2157,Urban,20.07,15.6
598,Urban,25.16,21.51
324,Urban,34.96,25.88
2039,Urban,20.67,13.88
1333,Urban,20.68,16.55
622,Urban,,23.75
1743,Rural,21.68,12.87
1698,Urban,15.02,12.94
3676,Urban,14.09,13.11
667,Urban,25.8,21.94
3476,Rural,25.85,11.06
2840,Urban,30.94,19.66
933,Rural,11.7,6.38
4879,Urban,26.34,14.24
2215,Rural,8.57,5.22
288,Urban,5.56,8.6
408,Urban,17.75,18.47
846,Urban,11.33,9.41
4866,Rural,4.16,4.82
4421,Urban,32.65,24.84
3587,Urban,31.08,17.88
3180,Rural,6.94,8.09
2696,Urban,25.02,20.01
2711,Rural,5.04,3.61
4360,Urban,25.29,20.6
3435,Rural,33.81,15.55
4528,Rural,6.93,5.13
1424,Urban,12.13,8.05
4356,Rural,28.43,14.3
2421,Urban,10.08,10.55
716,Rural,13.35,6.22
2238,Urban,30.93,18.89
3855,Rural,18.94,9.77
893,Rural,19.26,11.26
4600,Urban,16.35,11.5
717,Rural,9.84,3.42
3793,Urban,8.36,11.98
326,Rural,21.93,11.51
150,Urban,8.07,9.01
955,Urban,5.39,6.93
3006,Rural,15.28,5.73
1494,Urban,10.75,10.39
4320,Urban,26.49,20.15
2229,Urban,33.37,24.35
3330,Rural,,10.72
4149,Rural,16.69,11.88
4579,Rural,5.58,5.36
2704,Urban,15.01,10.64
3346,Rural,27.34,15.01
880,Urban,19.12,15.13
2920,Urban,16.74,17.45
1874,Rural,14.55,8.35
2366,Urban,15.57,14.14
2714,Urban,17.87,13.36
4630,Urban,,13.61
4789,Urban,19.57,18.08
2077,Urban,21.79,20.42
289,Urban,7.0,9.56
203,Urban,23.93,17.39
2773,Rural,11.72,5.61
2027,Rural,5.24,2.45
4294,Rural,21.52,13.86
616,Rural,30.0,16.97
3118,Urban,11.51,9.41
4341,Urban,24.89,16.76
3077,Rural,22.9,14.45
1235,Rural,15.74,6.32
3625,Urban,4.63,5.14
2053,Urban,32.83,21.92
222,Urban,18.7,12.86
3492,Rural,8.19,6.42
3458,Rural,15.84,10.68
1602,Urban,22.49,20.14
548,Rural,5.53,8.68
1279,Urban,30.15,20.04
3832,Rural,,14.76
929,Rural,23.05,14.06
3771,Urban,11.9,7.91
3819,Rural,21.89,10.75
1446,Urban,20.72,16.11
1609,Urban,33.03,23.01
449,Urban,20.89,17.7
5,Urban,30.96,24.8
4991,Rural,17.96,12.44
2911,Urban,31.3,21.35
787,Urban,12.36,9.17
4491,Urban,19.54,18.18
4479,Urban,12.68,12.52
29,Urban,26.51,20.53
1940,Urban,13.61,9.72
2878,Urban,16.0,12.98
3050,Urban,8.3,13.45
1676,Urban,30.62,20.68
2327,Rural,10.65,5.5
1846,Urban,10.0,11.3
1144,Urban,31.15,19.04
827,Urban,23.76,24.57
2572,Rural,20.81,12.09
3604,Urban,8.8,11.8
1044,Rural,8.99,6.69
4952,Urban,24.85,22.42
3379,Urban,21.84,17.96
2632,Rural,22.7,11.8
2690,Urban,29.97,21.24
864,Urban,17.1,15.42
354,Urban,20.68,14.36
1063,Rural,19.25,11.64
349,Urban,17.95,21.52
1154,Rural,5.95,3.8
4354,Rural,,8.34
580,Urban,17.61,11.87
3423,Rural,11.07,7.32
3962,Urban,20.1,14.03
1234,Urban,9.41,10.19
1065,Urban,11.39,12.17
745,Urban,9.07,9.95
340,Urban,4.19,4.59
672,Rural,12.87,8.76
3312,Rural,12.39,7.53
3078,Urban,22.14,16.11
3640,Urban,,20.38
2396,Urban,5.91,7.0
303,Urban,27.62,19.49
111,Urban,34.07,23.87
559,Rural,12.53,6.04
4080,Urban,10.34,14.68
4534,Urban,30.19,22.77
4934,Urban,4.1,9.2
4578,Urban,27.03,19.41
2388,Rural,34.25,18.64
4758,Rural,34.74,20.17
1848,Urban,17.91,12.43
1917,Rural,15.76,9.61
4881,Urban,17.11,16.55
339,Urban,32.2,26.55
4721,Urban,27.87,19.76
278,Rural,14.31,11.71
4840,Urban,29.14,23.37
1878,Urban,9.92,10.29
1928,Urban,24.12,17.27
144,Urban,27.76,22.55
2409,Rural,9.45,5.91
9,Rural,9.64,7.86
1121,Rural,5.61,4.68
1393,Urban,27.25,17.22
2927,Rural,30.45,15.98
3418,Rural,21.69,13.16
3258,Urban,34.41,24.31
830,Urban,20.58,15.88
552,Rural,15.94,10.38
668,Urban,29.87,22.98
1671,Urban,14.71,12.08
2290,Urban,30.12,26.3
1509,Rural,30.49,15.97
4535,Urban,16.97,12.63
4252,Urban,23.64,17.66
1808,Urban,17.22,16.31
66,Urban,5.14,6.16
2217,Rural,21.54,13.16
2788,Urban,32.65,23.07
1140,Urban,28.86,21.3
570,Urban,34.21,23.39
290,Urban,26.33,21.69
1358,Urban,18.2,12.73
3988,Urban,33.22,23.23
1315,,12.6,10.33
1028,,8.0,4.9
4847,Rural,30.29,20.59
15,Urban,10.09,9.38
2957,Rural,,14.52
1600,Rural,22.03,15.84
754,Urban,28.2,20.65
4045,Urban,18.14,18.92
2836,Rural,18.13,4.1
585,Rural,18.24,14.59
3249,Rural,32.31,15.1
2281,Urban,21.68,14.17
3084,Urban,7.27,9.44
1860,Rural,23.65,12.22
391,Rural,8.32,5.48
2319,Urban,17.72,17.01
4554,Rural,23.76,12.32
2164,Rural,25.68,17.9
257,Rural,6.13,4.93
1719,Rural,11.15,9.13
4266,Urban,5.39,8.56
3822,Urban,34.78,22.86
2687,Urban,27.16,21.95
2598,Urban,4.37,6.79
1578,Rural,12.39,10.88
4093,Urban,19.12,14.66
4914,Urban,22.8,19.13
4970,Urban,8.21,6.67
2082,Urban,27.72,19.62
3708,Urban,19.6,16.21
1147,Rural,19.88,14.0
1415,Urban,10.17,9.84
3173,Urban,19.08,13.22
3986,Rural,25.59,15.82
4651,Urban,12.91,12.76
1991,Rural,33.35,20.68
1586,Urban,16.72,16.62
4343,Rural,30.15,17.87
2737,Rural,32.35,16.09
2018,Rural,6.43,3.64
353,Rural,12.91,4.2
3391,Urban,22.79,19.14
770,Rural,32.28,19.24
3748,Urban,7.22,8.2
39,Rural,26.56,17.77
1528,Urban,29.89,20.71
687,Urban,19.52,19.44
1292,Urban,16.07,10.03
386,Rural,19.84,13.31
3133,Rural,34.1,15.21
1215,Rural,27.96,15.51
2686,Urban,27.81,18.15
466,Urban,19.68,16.51
3325,Rural,6.02,6.23
683,Urban,32.36,20.18
61,Urban,,22.49
474,Rural,25.75,9.49
2871,Rural,30.02,18.98
1983,Urban,32.98,21.39
3432,Rural,22.22,13.29
689,Rural,,4.37
2145,Urban,32.94,22.11
4258,Urban,9.24,10.96
786,Rural,32.2,18.25
2938,Urban,22.14,15.92
854,Rural,30.78,16.14
995,Urban,6.24,5.5
4379,Urban,31.17,23.25
4076,Urban,26.96,17.43
4234,Rural,18.08,11.28
3733,Urban,11.81,15.94
2801,Rural,,2.97
4768,Urban,27.59,19.9
2759,Rural,31.65,18.67
2328,Urban,26.88,20.3
589,Urban,32.79,24.81
3378,Urban,11.03,10.64
1035,Urban,23.82,19.54
85,Urban,10.04,10.5
78,,11.33,12.25
1012,Rural,29.35,14.54
170,Urban,27.84,19.98
471,Urban,25.3,18.41
3649,Urban,26.28,22.67
3835,Urban,33.25,22.4
2502,Rural,29.82,16.25
1486,Urban,19.23,16.27
1392,Urban,16.82,14.77
766,Urban,26.86,21.84
4956,Rural,14.83,5.29
2683,Urban,23.06,16.86
1980,Rural,5.2,7.53
527,Urban,23.81,19.95
4227,Urban,16.48,13.62
888,Urban,32.42,22.85
2668,Rural,25.48,15.55
4466,Urban,33.59,20.78
4506,Urban,18.37,15.23
768,Rural,6.09,3.17
2919,Urban,7.53,8.51
3755,Urban,33.69,19.97
2563,Urban,7.51,7.14
492,Rural,27.31,14.92
3622,Urban,9.58,3.93
442,Rural,10.75,6.84
1573,Rural,6.43,1.0
1095,Urban,10.35,10.17
3290,Urban,19.82,12.44
1510,Rural,25.18,16.8
4957,Urban,27.0,21.63
3736,Urban,34.44,25.03
3500,Rural,13.8,7.98
1158,Rural,26.42,14.48
814,Rural,12.73,7.21
3970,Urban,6.07,8.55
1623,Urban,19.04,17.33
3273,Rural,6.16,2.21
3741,Rural,22.58,13.52
109,Urban,27.76,20.03
3175,Urban,23.78,16.96
3635,Urban,12.96,13.72
418,Urban,13.78,13.95
3137,Rural,16.28,9.41
2144,Urban,12.21,11.57
3149,Rural,13.95,8.1
4787,Rural,6.77,-0.04
1532,Rural,31.95,15.82
1368,Rural,9.09,2.19
582,Rural,15.23,9.05
384,Rural,4.28,-2.25
1547,Rural,21.33,10.57
712,Urban,34.02,25.57
4368,Urban,28.97,22.64
2754,Urban,17.19,10.98
2417,Urban,,14.51
1022,Urban,30.45,23.06
108,Rural,7.08,8.04
4323,Rural,23.1,14.94
2289,Urban,33.4,24.51
4874,,10.51,11.75
2838,Urban,25.45,17.27
4467,Urban,32.7,23.11
1357,Rural,,10.21
4546,Rural,7.33,9.09
4101,Rural,21.87,14.78
4641,Rural,18.99,9.28
1844,Rural,6.65,5.2
1717,Urban,6.77,10.09
185,Urban,27.29,17.46
2661,Urban,5.19,6.24
1133,Urban,20.73,17.42
4392,Urban,34.96,22.37
1033,Urban,,21.12
2060,Urban,32.24,24.19
2998,Urban,18.12,13.49
1116,Urban,25.77,17.51
3856,Urban,7.85,11.18
148,Urban,31.88,21.71
4818,Rural,18.27,7.74
535,Rural,9.06,5.46
263,Urban,21.29,18.35
2950,,12.65,6.56
2113,Urban,16.65,11.36
4167,Urban,30.47,22.98
4095,Urban,19.91,16.85
1828,Rural,10.62,4.06
1166,Rural,19.16,10.34
2962,Urban,13.76,9.58
4781,Urban,15.32,14.15
2651,Urban,6.24,6.36
4040,Urban,10.56,13.66
1750,Urban,16.64,14.42
3217,Urban,21.45,17.75
502,Urban,5.59,9.68
3259,Urban,23.02,19.13
421,Rural,9.96,2.46
3222,Urban,9.97,10.09
3483,Urban,32.76,20.8
3438,Urban,4.69,5.36
2948,Urban,26.59,22.55
3105,Urban,28.84,23.47
3363,Rural,11.24,7.02
270,Urban,13.45,11.84
4078,Urban,27.66,17.78
2342,Urban,16.28,12.48
65,Urban,26.85,18.99
269,Urban,30.59,20.85
866,Urban,17.72,13.72
3526,Urban,4.7,6.08
448,Rural,23.23,13.75
334,Urban,13.4,10.88
917,Urban,,24.18
1438,Rural,7.56,4.85
2683,Urban,23.06,16.86
4246,Rural,32.36,19.08
3441,,12.37,11.27
3371,Urban,8.85,13.05
4386,Urban,31.17,23.92
1314,Rural,12.35,8.74
4038,Rural,30.23,15.47
2228,Urban,7.41,3.0
4261,Urban,18.07,14.01
4871,Urban,12.87,14.32
2491,Urban,7.39,3.45
2139,Urban,24.74,20.08
2132,Urban,18.29,16.86
4936,Urban,7.37,6.26
4800,Rural,32.84,16.87
3210,Rural,8.89,3.26
3145,Urban,33.48,24.08
2242,Urban,32.07,24.75
4839,Urban,26.62,24.52
275,Urban,18.62,14.23
3521,Urban,18.02,15.18
4618,Rural,33.1,22.26
4646,Rural,24.84,12.4
935,,,15.06
1041,Urban,22.4,20.27
1075,Rural,13.52,9.89
674,Urban,13.74,14.67
4448,Rural,26.2,14.51
4742,Urban,5.02,6.61
2983,Rural,25.34,13.21
4723,Urban,26.14,18.25
1933,Urban,17.24,13.43
4869,Urban,32.23,22.85
2671,Rural,27.86,11.74
215,Rural,16.21,7.83
1382,Urban,20.43,16.47
1679,Urban,21.21,14.56
4940,Rural,27.23,15.83
2907,Rural,8.04,4.37
2414,Urban,29.58,23.37
872,Urban,11.34,13.94
302,Urban,4.33,9.07
3619,Rural,4.46,5.42
4226,Rural,32.75,16.66
2032,Urban,12.81,10.0
1024,Rural,7.08,4.79
3847,Rural,32.93,18.8
4468,Urban,,24.48
1889,Rural,8.63,2.69
4098,Urban,6.67,9.68
2199,Urban,32.91,22.94
4061,Urban,32.6,23.59
2483,Rural,17.62,8.47
1593,Urban,15.9,12.68
2821,,14.99,8.61
393,Urban,30.91,24.15
3896,Rural,,4.57
4612,Urban,11.63,11.22
4712,Urban,30.65,25.73
4463,,26.8,15.94
2134,,9.03,8.33
3076,Rural,11.75,7.87
3369,Urban,23.17,20.09
800,Rural,9.08,3.68
1350,Urban,26.0,16.25
1506,Urban,,25.03
4624,Rural,26.99,13.89
3361,Rural,29.19,14.99
1308,Rural,15.39,5.51
3200,Urban,,7.23
4462,Urban,4.61,8.7
141,Rural,21.85,12.02
890,Urban,17.99,13.37
1649,Rural,25.26,12.87
1577,Urban,32.52,24.06
4387,Rural,,18.14
1481,Rural,22.37,12.68
2942,Rural,23.87,11.19
895,Rural,18.38,8.37
1110,Urban,33.26,26.25
301,Urban,28.29,13.3
1769,Urban,,20.94
1474,Urban,34.04,25.08
1185,Urban,4.68,9.56
153,Urban,32.17,22.46
4481,,7.48,8.33
4096,Urban,31.04,20.26
3191,Urban,31.08,23.63
2048,Rural,4.63,2.59
3936,Urban,23.95,18.41
3147,Rural,13.42,11.12
2762,Urban,6.72,8.52
2813,Rural,7.21,2.24
2099,Rural,11.34,8.16
702,Urban,14.99,11.47
3902,Urban,32.29,23.44
443,Urban,,14.06
3672,Urban,8.21,8.42
1201,Rural,25.8,13.72
2119,Urban,25.47,17.85
352,Rural,34.86,16.82
2774,Urban,14.06,10.59
2823,Rural,16.77,9.94
4649,Rural,22.28,12.01
3928,Rural,9.09,6.04
441,Urban,18.27,15.14
2168,Urban,18.21,15.79
2001,Urban,5.2,8.99
3073,Urban,26.71,23.69
4188,Urban,4.0,7.44
2069,Urban,8.8,9.41
1830,Urban,16.56,14.71
24,Urban,26.3,22.36
3151,Rural,20.56,14.67
3302,Rural,12.03,4.61
1383,Rural,4.86,2.24
4403,Urban,21.36,19.4
4530,Urban,33.42,23.51
71,Rural,21.14,15.26
1692,Urban,10.75,9.83
2443,Rural,8.16,4.28
390,Rural,,13.07
3362,Urban,8.11,7.72
1938,Rural,,17.71
3878,Rural,,8.52
502,Urban,5.59,9.68
2515,Rural,22.89,12.95
4409,Urban,10.16,11.2
2137,Urban,30.87,21.91
4312,Rural,14.85,8.91
3454,Urban,17.69,17.35
825,Urban,9.39,9.36
1155,,9.81,2.91
2582,Rural,16.22,9.12
4119,Urban,33.07,25.12
718,Rural,13.42,9.66
2517,Urban,12.84,14.25
2951,Rural,33.46,16.5
487,Urban,10.98,13.85
299,Rural,17.28,14.55
413,Rural,26.83,15.4
3380,Rural,17.13,8.1
529,Urban,17.49,10.93
2417,Urban,13.45,14.51
3944,Urban,32.81,22.63
1581,Urban,31.33,23.97
2792,Rural,10.8,8.64
4094,Rural,25.77,12.49
4571,Urban,16.47,16.84
3397,,22.28,11.03
3182,Urban,8.74,12.71
4417,Urban,22.54,21.18
3009,Rural,,13.16
3730,Urban,12.81,15.3
2587,Urban,16.94,13.68
4035,Urban,18.08,14.1
1221,Rural,28.75,11.49
1811,Rural,27.99,13.4
3095,Urban,20.5,13.68
