Product_Id,Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Id,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total,Date
DR7148,7.38,Regular,0.018,Soft Drinks,61,OUT002,1998,Small,Tier 3,Food Mart,501.72,03/02/2020 6:23:52
NC1236,7.24,No Sugar,0.058,Health and Hygiene,61.15,OUT002,1998,Small,Tier 3,Food Mart,472.43,03/02/2020 6:23:52
FD6357,11.75,Regular,0.031,Snack Foods,61.57,OUT002,1998,Small,Tier 3,Food Mart,1499.59,03/02/2020 6:23:52
FD5137,11.78,Low Sugar,0.042,Snack Foods,61.63,OUT002,1998,Small,Tier 3,Food Mart,1509.17,03/02/2020 6:23:52
FD2949,7.62,Low Sugar,0.136,Canned,62.17,OUT002,1998,Small,Tier 3,Food Mart,579.78,03/02/2020 6:23:52
FD5952,9.63,Regular,0.035,Fruits and Vegetables,62.64,OUT002,1998,Small,Tier 3,Food Mart,1044.19,03/02/2020 6:23:52
FD6965,10.85,Low Sugar,0.027,Canned,62.8,OUT002,1998,Small,Tier 3,Food Mart,1321.81,03/02/2020 6:23:52
DR4116,8.26,Low Sugar,0.014,Soft Drinks,62.9,OUT002,1998,Small,Tier 3,Food Mart,738.97,03/02/2020 6:23:52
FD8334,8.24,Low Sugar,0.066,Meat,64.4,OUT002,1998,Small,Tier 3,Food Mart,765.92,03/02/2020 6:23:52
NC1574,8.16,No Sugar,0.093,Household,64.66,OUT002,1998,Small,Tier 3,Food Mart,753.13,03/02/2020 6:23:52
FD6231,10.71,Regular,0.017,Baking Goods,64.68,OUT002,1998,Small,Tier 3,Food Mart,1329.18,03/02/2020 6:23:52
FD7626,6.37,Low Sugar,0.085,Frozen Foods,64.71,OUT002,1998,Small,Tier 3,Food Mart,350,03/02/2020 6:23:52
FD5953,10.46,Low Sugar,0.103,Frozen Foods,64.79,OUT002,1998,Small,Tier 3,Food Mart,1275.44,03/02/2020 6:23:52
FD8116,6.71,Low Sugar,0.129,Fruits and Vegetables,65.21,OUT002,1998,Small,Tier 3,Food Mart,436.31,03/02/2020 6:23:52
NC3121,10.78,No Sugar,0.064,Household,66.05,OUT002,1998,Small,Tier 3,Food Mart,1373.88,03/02/2020 6:23:52
FD5541,12.47,Low Sugar,0.021,Baking Goods,66.16,OUT002,1998,Small,Tier 3,Food Mart,1756.26,03/02/2020 6:23:52
FD3222,9.2,Low Sugar,0.136,Canned,66.56,OUT002,1998,Small,Tier 3,Food Mart,1025.57,03/02/2020 6:23:52
DR6878,10.93,Low Sugar,0.013,Soft Drinks,66.73,OUT002,1998,Small,Tier 3,Food Mart,1421.47,03/02/2020 6:23:52
FD1012,13.55,Low Sugar,0.186,Baking Goods,66.75,OUT002,1998,Small,Tier 3,Food Mart,2014.05,03/02/2020 6:23:52
FD2160,7.68,Low Sugar,0.05,Snack Foods,67.01,OUT002,1998,Small,Tier 3,Food Mart,692.38,03/02/2020 6:23:52
FD3611,8.97,Low Sugar,0.094,Baking Goods,67.06,OUT002,1998,Small,Tier 3,Food Mart,985.73,03/02/2020 6:23:52
NC993,8.05,No Sugar,0.04,Health and Hygiene,67.14,OUT002,1998,Small,Tier 3,Food Mart,778.1,03/02/2020 6:23:52
FD4288,10.08,Low Sugar,0.03,Frozen Foods,67.18,OUT002,1998,Small,Tier 3,Food Mart,1237.95,03/02/2020 6:23:52
FD8416,10.06,Low Sugar,0.01,Fruits and Vegetables,67.3,OUT002,1998,Small,Tier 3,Food Mart,1236.25,03/02/2020 6:23:52
FD5320,11.88,Regular,0.142,Baking Goods,67.8,OUT002,1998,Small,Tier 3,Food Mart,1658.53,03/02/2020 6:23:52
NC7105,9.29,No Sugar,0.021,Health and Hygiene,67.99,OUT002,1998,Small,Tier 3,Food Mart,1076.93,03/02/2020 6:23:52
FD5261,9.88,Regular,0.056,Frozen Foods,67.99,OUT002,1998,Small,Tier 3,Food Mart,1209.9,03/02/2020 6:23:52
NC2079,9.91,No Sugar,0.038,Health and Hygiene,68.04,OUT002,1998,Small,Tier 3,Food Mart,1216.1,03/02/2020 6:23:52
FD6435,10.8,Low Sugar,0.12,Seafood,68.36,OUT002,1998,Small,Tier 3,Food Mart,1423.82,03/02/2020 6:23:52
FD7609,11.26,Regular,0.055,Fruits and Vegetables,68.44,OUT002,1998,Small,Tier 3,Food Mart,1530.97,03/02/2020 6:23:52
FD5627,10.27,Regular,0.126,Fruits and Vegetables,68.56,OUT002,1998,Small,Tier 3,Food Mart,1309.28,03/02/2020 6:23:52
FD1803,9.65,Regular,0.085,Fruits and Vegetables,68.65,OUT002,1998,Small,Tier 3,Food Mart,1170.43,03/02/2020 6:23:52
FD1345,5.81,Low Sugar,0.053,Snack Foods,68.8,OUT002,1998,Small,Tier 3,Food Mart,306.11,03/02/2020 6:23:52
FD5008,11.99,Low Sugar,0.184,Baking Goods,71.29,OUT002,1998,Small,Tier 3,Food Mart,1754.44,03/02/2020 6:23:52
NC386,9.69,No Sugar,0.02,Health and Hygiene,71.35,OUT001,1987,High,Tier 2,Supermarket Type1,2367.3,03/02/2020 6:23:52
FD4162,9.68,Regular,0.013,Canned,71.53,OUT002,1998,Small,Tier 3,Food Mart,1236.54,03/02/2020 6:23:52
FD5979,9.79,Low Sugar,0.141,Snack Foods,71.57,OUT002,1998,Small,Tier 3,Food Mart,1262.87,03/02/2020 6:23:52
FD6115,11.64,Low Sugar,0.056,Fruits and Vegetables,71.59,OUT002,1998,Small,Tier 3,Food Mart,1680.56,03/02/2020 6:23:52
FD7072,12.66,Low Sugar,0.031,Snack Foods,71.59,OUT002,1998,Small,Tier 3,Food Mart,1911.3,03/02/2020 6:23:52
NC6961,13.99,No Sugar,0.076,Household,71.99,OUT002,1998,Small,Tier 3,Food Mart,2220.7,03/02/2020 6:23:52
FD193,10.68,Low Sugar,0.033,Snack Foods,72.37,OUT001,1987,High,Tier 2,Supermarket Type1,4790.98,03/02/2020 6:23:52
FD1821,11.29,Regular,0.047,Snack Foods,72.58,OUT002,1998,Small,Tier 3,Food Mart,1622.3,03/02/2020 6:23:52
FD6123,10.59,Low Sugar,0.119,Meat,72.59,OUT002,1998,Small,Tier 3,Food Mart,1463.98,03/02/2020 6:23:52
FD2989,11.34,Low Sugar,0.047,Frozen Foods,72.61,OUT002,1998,Small,Tier 3,Food Mart,1633.12,03/02/2020 6:23:52
FD2615,11.91,Low Sugar,0.053,Baking Goods,73.22,OUT002,1998,Small,Tier 3,Food Mart,1775.13,03/02/2020 6:23:52
DR6398,8.99,Low Sugar,0.045,Hard Drinks,73.33,OUT002,1998,Small,Tier 3,Food Mart,1116.94,03/02/2020 6:23:52
FD6180,5.72,Regular,0.054,Fruits and Vegetables,73.62,OUT002,1998,Small,Tier 3,Food Mart,384.07,03/02/2020 6:23:52
FD7181,8.47,Regular,0.031,Starchy Foods,73.7,OUT002,1998,Small,Tier 3,Food Mart,1006.65,03/02/2020 6:23:52
FD2644,10.43,Low Sugar,0.059,Snack Foods,73.7,OUT002,1998,Small,Tier 3,Food Mart,1450.83,03/02/2020 6:23:52
FD4727,10.94,Low Sugar,0.027,Dairy,73.73,OUT002,1998,Small,Tier 3,Food Mart,1567.12,03/02/2020 6:23:52
FD7713,9.46,Regular,0.119,Baking Goods,73.87,OUT002,1998,Small,Tier 3,Food Mart,1234.6,03/02/2020 6:23:52
FD3381,10.96,Low Sugar,0.016,Breads,74.2,OUT002,1998,Small,Tier 3,Food Mart,1581.31,03/02/2020 6:23:52
FD6373,10.17,Low Sugar,0.098,Frozen Foods,74.27,OUT002,1998,Small,Tier 3,Food Mart,1402.37,03/02/2020 6:23:52
FD4252,8.62,Low Sugar,0.11,Snack Foods,74.28,OUT002,1998,Small,Tier 3,Food Mart,1052.83,03/02/2020 6:23:52
FD4129,12.68,Low Sugar,0.058,Fruits and Vegetables,74.35,OUT002,1998,Small,Tier 3,Food Mart,1971.33,03/02/2020 6:23:52
DR4728,7.66,Low Sugar,0.068,Hard Drinks,74.61,OUT002,1998,Small,Tier 3,Food Mart,842.74,03/02/2020 6:23:52
NC2622,7.76,No Sugar,0.026,Health and Hygiene,74.92,OUT002,1998,Small,Tier 3,Food Mart,872.41,03/02/2020 6:23:52
DR3327,7.42,Low Sugar,0.044,Soft Drinks,75.01,OUT002,1998,Small,Tier 3,Food Mart,796.05,03/02/2020 6:23:52
NC7566,9.78,No Sugar,0.042,Household,75.19,OUT002,1998,Small,Tier 3,Food Mart,1334.61,03/02/2020 6:23:52
FD8521,6.77,Low Sugar,0.032,Meat,75.21,OUT002,1998,Small,Tier 3,Food Mart,654.52,03/02/2020 6:23:52
FD2633,13.45,Regular,0.087,Fruits and Vegetables,75.23,OUT002,1998,Small,Tier 3,Food Mart,2164.56,03/02/2020 6:23:52
FD2452,12.34,Low Sugar,0.016,Dairy,75.29,OUT002,1998,Small,Tier 3,Food Mart,1913.64,03/02/2020 6:23:52
FD6645,9.39,Low Sugar,0.157,Canned,75.32,OUT002,1998,Small,Tier 3,Food Mart,1247.89,03/02/2020 6:23:52
FD1321,4,Low Sugar,0.077,Snack Foods,75.44,OUT002,1998,Small,Tier 3,Food Mart,33,03/02/2020 6:23:52
NC231,8.7,No Sugar,0.141,Household,75.46,OUT001,1987,High,Tier 2,Supermarket Type1,4483.74,03/02/2020 6:23:52
FD4464,7.05,Low Sugar,0.038,Fruits and Vegetables,75.66,OUT002,1998,Small,Tier 3,Food Mart,727.24,03/02/2020 6:23:52
FD3623,11.69,Regular,0.143,Breads,75.71,OUT002,1998,Small,Tier 3,Food Mart,1775.67,03/02/2020 6:23:52
FD340,11.15,Low Sugar,0.096,Frozen Foods,76.14,OUT001,1987,High,Tier 2,Supermarket Type1,4095.58,03/02/2020 6:23:52
NC1374,12.9,No Sugar,0.025,Health and Hygiene,76.23,OUT002,1998,Small,Tier 3,Food Mart,2061.04,03/02/2020 6:23:52
FD5334,8.56,Low Sugar,0.035,Fruits and Vegetables,76.33,OUT002,1998,Small,Tier 3,Food Mart,1082.17,03/02/2020 6:23:52
FD3022,10.51,Low Sugar,0.048,Dairy,76.35,OUT002,1998,Small,Tier 3,Food Mart,1522.42,03/02/2020 6:23:52
FD5702,11.82,Regular,0.047,Meat,76.55,OUT002,1998,Small,Tier 3,Food Mart,1823.47,03/02/2020 6:23:52
NC2416,8.11,No Sugar,0.039,Others,76.87,OUT002,1998,Small,Tier 3,Food Mart,990.03,03/02/2020 6:23:52
DR1798,10.2,Low Sugar,0.077,Soft Drinks,77.01,OUT002,1998,Small,Tier 3,Food Mart,1466.13,03/02/2020 6:23:52
DR4730,8.03,Regular,0.076,Soft Drinks,77.05,OUT002,1998,Small,Tier 3,Food Mart,976.77,03/02/2020 6:23:52
FD4041,9.1,Low Sugar,0.12,Frozen Foods,77.12,OUT002,1998,Small,Tier 3,Food Mart,1219.82,03/02/2020 6:23:52
NC5976,12.13,No Sugar,0.078,Health and Hygiene,77.21,OUT002,1998,Small,Tier 3,Food Mart,1907.38,03/02/2020 6:23:52
FD8109,11.67,Low Sugar,0.075,Frozen Foods,77.24,OUT002,1998,Small,Tier 3,Food Mart,1804.16,03/02/2020 6:23:52
FD1420,10.84,Regular,0.034,Breakfast,77.26,OUT002,1998,Small,Tier 3,Food Mart,1615.93,03/02/2020 6:23:52
FD7973,13.52,Low Sugar,0.036,Fruits and Vegetables,77.36,OUT002,1998,Small,Tier 3,Food Mart,2222.64,03/02/2020 6:23:52
FD2780,7.53,Low Sugar,0.188,Frozen Foods,77.56,OUT002,1998,Small,Tier 3,Food Mart,874.72,03/02/2020 6:23:52
FD3048,10.06,Low Sugar,0.031,Baking Goods,77.58,OUT002,1998,Small,Tier 3,Food Mart,1445.69,03/02/2020 6:23:52
FD1631,9.39,Low Sugar,0.12,Snack Foods,77.7,OUT002,1998,Small,Tier 3,Food Mart,1296.88,03/02/2020 6:23:52
FD2082,10.17,Low Sugar,0.274,Breads,77.76,OUT002,1998,Small,Tier 3,Food Mart,1475.31,03/02/2020 6:23:52
FD6408,11.64,Low Sugar,0.097,Snack Foods,78.01,OUT002,1998,Small,Tier 3,Food Mart,1811.7,03/02/2020 6:23:52
DR8728,7.85,Low Sugar,0.017,Soft Drinks,78.26,OUT002,1998,Small,Tier 3,Food Mart,960.36,03/02/2020 6:23:52
FD5178,11.82,Low Sugar,0.025,Frozen Foods,78.52,OUT002,1998,Small,Tier 3,Food Mart,1862.85,03/02/2020 6:23:52
FD933,9.58,Low Sugar,0.039,Snack Foods,78.71,OUT002,1998,Small,Tier 3,Food Mart,1361.51,03/02/2020 6:23:52
FD2058,7.44,Low Sugar,0.076,Snack Foods,78.77,OUT002,1998,Small,Tier 3,Food Mart,877.75,03/02/2020 6:23:52
FD889,6.95,Low Sugar,0.061,Snack Foods,78.82,OUT002,1998,Small,Tier 3,Food Mart,769.26,03/02/2020 6:23:52
FD3058,12.15,Low Sugar,0.081,Starchy Foods,78.82,OUT002,1998,Small,Tier 3,Food Mart,1943.02,03/02/2020 6:23:52
FD509,8.34,Low Sugar,0.056,Canned,78.84,OUT001,1987,High,Tier 2,Supermarket Type1,2753.6,03/02/2020 6:23:52
FD3309,9.88,Low Sugar,0.03,Snack Foods,78.94,OUT002,1998,Small,Tier 3,Food Mart,1433.45,03/02/2020 6:23:52
FD2353,10.76,Regular,0.038,Snack Foods,79.01,OUT002,1998,Small,Tier 3,Food Mart,1634.51,03/02/2020 6:23:52
DR6167,14.09,Low Sugar,0.021,Soft Drinks,79.15,OUT001,1987,High,Tier 2,Supermarket Type1,2389.08,03/02/2020 6:23:52
FD4270,10.02,Low Sugar,0.076,Fruits and Vegetables,79.16,OUT002,1998,Small,Tier 3,Food Mart,1470.64,03/02/2020 6:23:52
FD8323,12.17,Low Sugar,0.173,Snack Foods,79.19,OUT002,1998,Small,Tier 3,Food Mart,1956.14,03/02/2020 6:23:52
FD77,6.44,Low Sugar,0.007,Dairy,79.33,OUT002,1998,Small,Tier 3,Food Mart,1323.04,03/02/2020 6:23:52
DR5139,10.25,Low Sugar,0.061,Soft Drinks,79.44,OUT002,1998,Small,Tier 3,Food Mart,1527.43,03/02/2020 6:23:52
FD8613,10.57,Low Sugar,0.048,Snack Foods,79.52,OUT002,1998,Small,Tier 3,Food Mart,1601.81,03/02/2020 6:23:52
FD6044,4.28,Low Sugar,0.037,Dairy,79.65,OUT002,1998,Small,Tier 3,Food Mart,183.02,03/02/2020 6:23:52
FD143,10.12,Low Sugar,0.082,Meat,79.92,OUT001,1987,High,Tier 2,Supermarket Type1,3164.09,03/02/2020 6:23:52
FD4924,9.61,Regular,0.042,Baking Goods,80.09,OUT002,1998,Small,Tier 3,Food Mart,1396.25,03/02/2020 6:23:52
FD8152,11.09,Low Sugar,0.123,Snack Foods,80.12,OUT002,1998,Small,Tier 3,Food Mart,1730.86,03/02/2020 6:23:52
FD7014,12.65,Regular,0.048,Canned,80.12,OUT002,1998,Small,Tier 3,Food Mart,2083.75,03/02/2020 6:23:52
FD4210,9.21,Regular,0.113,Dairy,80.14,OUT002,1998,Small,Tier 3,Food Mart,1306.34,03/02/2020 6:23:52
FD4634,9.5,Low Sugar,0.05,Fruits and Vegetables,80.23,OUT002,1998,Small,Tier 3,Food Mart,1375,03/02/2020 6:23:52
FD7970,10.48,Regular,0.144,Snack Foods,80.3,OUT002,1998,Small,Tier 3,Food Mart,1596.16,03/02/2020 6:23:52
FD692,11.3,Low Sugar,0.115,Frozen Foods,80.32,OUT002,1998,Small,Tier 3,Food Mart,1782.53,03/02/2020 6:23:52
FD6574,9.55,Regular,0.137,Meat,80.61,OUT002,1998,Small,Tier 3,Food Mart,1392.26,03/02/2020 6:23:52
NC1852,10.92,No Sugar,0.156,Household,80.69,OUT002,1998,Small,Tier 3,Food Mart,1703.6,03/02/2020 6:23:52
DR7992,11.89,reg,0.055,Soft Drinks,80.76,OUT002,1998,Small,Tier 3,Food Mart,1925.64,03/02/2020 6:23:52
FD6443,13.66,Regular,0.108,Frozen Foods,81.08,OUT001,1987,High,Tier 2,Supermarket Type1,2332.23,03/02/2020 6:23:52
FD4007,10.34,Low Sugar,0.292,Breakfast,81.19,OUT002,1998,Small,Tier 3,Food Mart,1584.06,03/02/2020 6:23:52
FD8172,9.59,Low Sugar,0.034,Snack Foods,81.34,OUT002,1998,Small,Tier 3,Food Mart,1416.09,03/02/2020 6:23:52
FD4984,8.12,Low Sugar,0.048,Breakfast,81.36,OUT002,1998,Small,Tier 3,Food Mart,1085.88,03/02/2020 6:23:52
FD1654,7.33,Regular,0.039,Meat,81.44,OUT002,1998,Small,Tier 3,Food Mart,908.32,03/02/2020 6:23:52
FD533,11.82,Low Sugar,0.104,Canned,81.45,OUT001,1987,High,Tier 2,Supermarket Type1,4512.55,03/02/2020 6:23:52
FD4950,8.57,Regular,0.064,Snack Foods,81.53,OUT002,1998,Small,Tier 3,Food Mart,1189.81,03/02/2020 6:23:52
FD3939,8.48,Regular,0.186,Canned,81.59,OUT002,1998,Small,Tier 3,Food Mart,1171.06,03/02/2020 6:23:52
NC7701,9.04,No Sugar,0.011,Household,81.64,OUT002,1998,Small,Tier 3,Food Mart,1298.52,03/02/2020 6:23:52
FD4807,12.22,Regular,0.014,Meat,81.67,OUT002,1998,Small,Tier 3,Food Mart,2017.28,03/02/2020 6:23:52
FD7977,11.49,Regular,0.041,Fruits and Vegetables,81.78,OUT002,1998,Small,Tier 3,Food Mart,1855.55,03/02/2020 6:23:52
NC275,12,No Sugar,0.118,Household,81.91,OUT002,1998,Small,Tier 3,Food Mart,1739.34,03/02/2020 6:23:52
FD2021,9.13,Regular,0.03,Meat,81.96,OUT002,1998,Small,Tier 3,Food Mart,1324.74,03/02/2020 6:23:52
FD7891,7.54,Low Sugar,0.066,Meat,82.03,OUT002,1998,Small,Tier 3,Food Mart,967.97,03/02/2020 6:23:52
FD4393,9.65,Low Sugar,0.066,Breakfast,82.08,OUT002,1998,Small,Tier 3,Food Mart,1444.64,03/02/2020 6:23:52
FD4675,8.94,Regular,0.083,Frozen Foods,82.09,OUT002,1998,Small,Tier 3,Food Mart,1285.77,03/02/2020 6:23:52
NC3013,10.25,No Sugar,0.038,Health and Hygiene,82.21,OUT002,1998,Small,Tier 3,Food Mart,1585.11,03/02/2020 6:23:52
FD8302,11.03,Low Sugar,0.024,Baking Goods,82.26,OUT002,1998,Small,Tier 3,Food Mart,1760.59,03/02/2020 6:23:52
DR6038,9.09,Low Sugar,0.081,Soft Drinks,82.27,OUT002,1998,Small,Tier 3,Food Mart,1322.63,03/02/2020 6:23:52
FD8542,6.47,Low Sugar,0.111,Frozen Foods,82.45,OUT002,1998,Small,Tier 3,Food Mart,733.49,03/02/2020 6:23:52
FD4804,7.98,Low Sugar,0.074,Dairy,82.52,OUT002,1998,Small,Tier 3,Food Mart,1077.4,03/02/2020 6:23:52
NC4448,14.06,No Sugar,0.041,Health and Hygiene,82.53,OUT001,1987,High,Tier 2,Supermarket Type1,2450.37,03/02/2020 6:23:52
FD742,12.76,Low Sugar,0.032,Fruits and Vegetables,82.59,OUT002,1998,Small,Tier 3,Food Mart,2159.2,03/02/2020 6:23:52
NC1944,7.14,No Sugar,0.034,Health and Hygiene,82.6,OUT002,1998,Small,Tier 3,Food Mart,889.12,03/02/2020 6:23:52
NC6903,8.13,No Sugar,0.14,Health and Hygiene,82.6,OUT002,1998,Small,Tier 3,Food Mart,1113.56,03/02/2020 6:23:52
DR4520,11.29,Low Sugar,0.157,Soft Drinks,82.62,OUT002,1998,Small,Tier 3,Food Mart,1827.09,03/02/2020 6:23:52
FD8210,11.54,Regular,0.127,Frozen Foods,82.63,OUT002,1998,Small,Tier 3,Food Mart,1883.82,03/02/2020 6:23:52
FD5120,8.61,reg,0.013,Frozen Foods,82.74,OUT002,1998,Small,Tier 3,Food Mart,1223.9,03/02/2020 6:23:52
DR1910,10.81,Low Sugar,0.089,Soft Drinks,82.99,OUT002,1998,Small,Tier 3,Food Mart,1727.25,03/02/2020 6:23:52
NC3879,14.39,No Sugar,0.074,Household,83.04,OUT004,2009,Medium,Tier 2,Supermarket Type2,2536.72,03/02/2020 6:23:52
NC4549,7.33,No Sugar,0.031,Household,83.2,OUT002,1998,Small,Tier 3,Food Mart,944.3,03/02/2020 6:23:52
FD7401,7.13,Low Sugar,0.074,Frozen Foods,83.24,OUT002,1998,Small,Tier 3,Food Mart,900.16,03/02/2020 6:23:52
NC1406,8.99,No Sugar,0.066,Health and Hygiene,83.37,OUT002,1998,Small,Tier 3,Food Mart,1323.01,03/02/2020 6:23:52
FD5329,9.26,Regular,0.021,Canned,83.38,OUT002,1998,Small,Tier 3,Food Mart,1385.27,03/02/2020 6:23:52
FD2123,9.77,Regular,0.052,Meat,83.51,OUT002,1998,Small,Tier 3,Food Mart,1501.03,03/02/2020 6:23:52
FD877,8.06,Low Sugar,0.07,Canned,83.66,OUT002,1998,Small,Tier 3,Food Mart,1117.81,03/02/2020 6:23:52
NC4184,12.45,No Sugar,0.056,Household,83.69,OUT002,1998,Small,Tier 3,Food Mart,2111.07,03/02/2020 6:23:52
NC8298,11,No Sugar,0.055,Health and Hygiene,83.7,OUT002,1998,Small,Tier 3,Food Mart,1783.99,03/02/2020 6:23:52
FD7660,10.61,Low Sugar,0.037,Fruits and Vegetables,83.75,OUT002,1998,Small,Tier 3,Food Mart,1697.32,03/02/2020 6:23:52
FD6478,9.5,Low Sugar,0.191,Meat,83.78,OUT002,1998,Small,Tier 3,Food Mart,1447.55,03/02/2020 6:23:52
FD5832,11.63,Regular,0.085,Frozen Foods,83.78,OUT002,1998,Small,Tier 3,Food Mart,1927.11,03/02/2020 6:23:52
FD2260,11.03,Low Sugar,0.07,Breads,84.04,OUT002,1998,Small,Tier 3,Food Mart,1797.13,03/02/2020 6:23:52
FD4685,11.38,Low Sugar,0.007,Meat,84.18,OUT002,1998,Small,Tier 3,Food Mart,1879.76,03/02/2020 6:23:52
FD3340,9.2,Low Sugar,0.054,Dairy,84.21,OUT002,1998,Small,Tier 3,Food Mart,1387.57,03/02/2020 6:23:52
FD5269,8.35,Regular,0.028,Dairy,84.27,OUT002,1998,Small,Tier 3,Food Mart,1196.06,03/02/2020 6:23:52
FD4573,12.31,Low Sugar,0.049,Canned,84.27,OUT002,1998,Small,Tier 3,Food Mart,2092.42,03/02/2020 6:23:52
FD4708,10.89,Low Sugar,0.061,Frozen Foods,84.31,OUT002,1998,Small,Tier 3,Food Mart,1771.29,03/02/2020 6:23:52
FD1595,9.2,Regular,0.15,Canned,84.37,OUT002,1998,Small,Tier 3,Food Mart,1390.69,03/02/2020 6:23:52
DR5397,10.49,Low Sugar,0.055,Soft Drinks,84.61,OUT002,1998,Small,Tier 3,Food Mart,1686.33,03/02/2020 6:23:52
NC8208,10.57,No Sugar,0.047,Household,84.62,OUT002,1998,Small,Tier 3,Food Mart,1705.82,03/02/2020 6:23:52
FD2893,10.38,Low Sugar,0.013,Breads,84.65,OUT002,1998,Small,Tier 3,Food Mart,1662.46,03/02/2020 6:23:52
FD3811,7.78,Low Sugar,0.033,Canned,84.71,OUT002,1998,Small,Tier 3,Food Mart,1076.32,03/02/2020 6:23:52
FD5735,11.43,Regular,0.12,Dairy,84.85,OUT002,1998,Small,Tier 3,Food Mart,1904.99,03/02/2020 6:23:52
DR332,8.92,Low Sugar,0.045,Soft Drinks,84.89,OUT001,1987,High,Tier 2,Supermarket Type1,3118.5,03/02/2020 6:23:52
FD4392,11.35,Regular,0.018,Meat,84.89,OUT002,1998,Small,Tier 3,Food Mart,1888.47,03/02/2020 6:23:52
NC6156,9.2,No Sugar,0.058,Health and Hygiene,85.06,OUT002,1998,Small,Tier 3,Food Mart,1404.7,03/02/2020 6:23:52
DR7802,11.06,Low Sugar,0.014,Soft Drinks,85.09,OUT002,1998,Small,Tier 3,Food Mart,1826.98,03/02/2020 6:23:52
FD1886,6.3,Low Sugar,0.142,Canned,85.24,OUT002,1998,Small,Tier 3,Food Mart,753.53,03/02/2020 6:23:52
FD6309,9.19,Low Sugar,0.058,Fruits and Vegetables,85.26,OUT002,1998,Small,Tier 3,Food Mart,1406.21,03/02/2020 6:23:52
DR3533,8.31,Low Sugar,0.078,Soft Drinks,85.35,OUT002,1998,Small,Tier 3,Food Mart,1209.07,03/02/2020 6:23:52
FD7394,9.52,Low Sugar,0.113,Baking Goods,85.56,OUT002,1998,Small,Tier 3,Food Mart,1486.47,03/02/2020 6:23:52
FD2446,9.9,Regular,0.015,Meat,85.56,OUT002,1998,Small,Tier 3,Food Mart,1574.05,03/02/2020 6:23:52
NC3307,6.8,No Sugar,0.191,Health and Hygiene,85.64,OUT002,1998,Small,Tier 3,Food Mart,875.08,03/02/2020 6:23:52
FD6620,8.84,Low Sugar,0.017,Baking Goods,85.76,OUT002,1998,Small,Tier 3,Food Mart,1337.22,03/02/2020 6:23:52
FD8753,7.96,Regular,0.016,Fruits and Vegetables,85.82,OUT002,1998,Small,Tier 3,Food Mart,1139.7,03/02/2020 6:23:52
